"","geoCode","/m/012gx2"
"Alabama","US-AL",50
"Alaska","US-AK",61
"Arizona","US-AZ",55
"Arkansas","US-AR",52
"California","US-CA",47
"Colorado","US-CO",59
"Connecticut","US-CT",64
"Delaware","US-DE",78
"District of Columbia","US-DC",100
"Florida","US-FL",55
"Georgia","US-GA",46
"Hawaii","US-HI",44
"Idaho","US-ID",70
"Illinois","US-IL",57
"Indiana","US-IN",55
"Iowa","US-IA",65
"Kansas","US-KS",65
"Kentucky","US-KY",57
"Louisiana","US-LA",47
"Maine","US-ME",71
"Maryland","US-MD",56
"Massachusetts","US-MA",58
"Michigan","US-MI",71
"Minnesota","US-MN",60
"Mississippi","US-MS",45
"Missouri","US-MO",58
"Montana","US-MT",64
"Nebraska","US-NE",58
"Nevada","US-NV",51
"New Hampshire","US-NH",74
"New Jersey","US-NJ",59
"New Mexico","US-NM",57
"New York","US-NY",46
"North Carolina","US-NC",49
"North Dakota","US-ND",55
"Ohio","US-OH",57
"Oklahoma","US-OK",56
"Oregon","US-OR",61
"Pennsylvania","US-PA",86
"Rhode Island","US-RI",59
"South Carolina","US-SC",53
"South Dakota","US-SD",65
"Tennessee","US-TN",53
"Texas","US-TX",47
"Utah","US-UT",56
"Vermont","US-VT",74
"Virginia","US-VA",58
"Washington","US-WA",54
"West Virginia","US-WV",59
"Wisconsin","US-WI",67
"Wyoming","US-WY",71
