"","geoCode","/m/012gx2"
"Alabama","US-AL",34
"Alaska","US-AK",41
"Arizona","US-AZ",40
"Arkansas","US-AR",40
"California","US-CA",47
"Colorado","US-CO",46
"Connecticut","US-CT",39
"Delaware","US-DE",52
"District of Columbia","US-DC",88
"Florida","US-FL",43
"Georgia","US-GA",30
"Hawaii","US-HI",31
"Idaho","US-ID",44
"Illinois","US-IL",34
"Indiana","US-IN",40
"Iowa","US-IA",43
"Kansas","US-KS",41
"Kentucky","US-KY",38
"Louisiana","US-LA",36
"Maine","US-ME",47
"Maryland","US-MD",40
"Massachusetts","US-MA",38
"Michigan","US-MI",39
"Minnesota","US-MN",42
"Mississippi","US-MS",33
"Missouri","US-MO",38
"Montana","US-MT",43
"Nebraska","US-NE",39
"Nevada","US-NV",39
"New Hampshire","US-NH",41
"New Jersey","US-NJ",37
"New Mexico","US-NM",34
"New York","US-NY",34
"North Carolina","US-NC",34
"North Dakota","US-ND",43
"Ohio","US-OH",35
"Oklahoma","US-OK",36
"Oregon","US-OR",100
"Pennsylvania","US-PA",40
"Rhode Island","US-RI",42
"South Carolina","US-SC",34
"South Dakota","US-SD",41
"Tennessee","US-TN",36
"Texas","US-TX",32
"Utah","US-UT",34
"Vermont","US-VT",43
"Virginia","US-VA",36
"Washington","US-WA",43
"West Virginia","US-WV",48
"Wisconsin","US-WI",43
"Wyoming","US-WY",48
