"","geoCode","/m/012gx2"
"Alabama","US-AL",33
"Alaska","US-AK",32
"Arizona","US-AZ",40
"Arkansas","US-AR",39
"California","US-CA",35
"Colorado","US-CO",37
"Connecticut","US-CT",38
"Delaware","US-DE",64
"District of Columbia","US-DC",100
"Florida","US-FL",43
"Georgia","US-GA",34
"Hawaii","US-HI",33
"Idaho","US-ID",41
"Illinois","US-IL",36
"Indiana","US-IN",38
"Iowa","US-IA",38
"Kansas","US-KS",38
"Kentucky","US-KY",34
"Louisiana","US-LA",32
"Maine","US-ME",41
"Maryland","US-MD",43
"Massachusetts","US-MA",63
"Michigan","US-MI",47
"Minnesota","US-MN",38
"Mississippi","US-MS",36
"Missouri","US-MO",37
"Montana","US-MT",52
"Nebraska","US-NE",38
"Nevada","US-NV",36
"New Hampshire","US-NH",59
"New Jersey","US-NJ",38
"New Mexico","US-NM",39
"New York","US-NY",34
"North Carolina","US-NC",35
"North Dakota","US-ND",49
"Ohio","US-OH",36
"Oklahoma","US-OK",37
"Oregon","US-OR",39
"Pennsylvania","US-PA",39
"Rhode Island","US-RI",46
"South Carolina","US-SC",34
"South Dakota","US-SD",43
"Tennessee","US-TN",37
"Texas","US-TX",34
"Utah","US-UT",33
"Vermont","US-VT",46
"Virginia","US-VA",37
"Washington","US-WA",37
"West Virginia","US-WV",46
"Wisconsin","US-WI",42
"Wyoming","US-WY",40
