"","geoCode","/m/012gx2"
"Alabama","US-AL",24
"Alaska","US-AK",24
"Arizona","US-AZ",26
"Arkansas","US-AR",23
"California","US-CA",24
"Colorado","US-CO",50
"Connecticut","US-CT",31
"Delaware","US-DE",45
"District of Columbia","US-DC",100
"Florida","US-FL",23
"Georgia","US-GA",26
"Hawaii","US-HI",22
"Idaho","US-ID",28
"Illinois","US-IL",26
"Indiana","US-IN",27
"Iowa","US-IA",24
"Kansas","US-KS",27
"Kentucky","US-KY",25
"Louisiana","US-LA",21
"Maine","US-ME",34
"Maryland","US-MD",28
"Massachusetts","US-MA",35
"Michigan","US-MI",29
"Minnesota","US-MN",25
"Mississippi","US-MS",16
"Missouri","US-MO",27
"Montana","US-MT",30
"Nebraska","US-NE",27
"Nevada","US-NV",27
"New Hampshire","US-NH",32
"New Jersey","US-NJ",27
"New Mexico","US-NM",26
"New York","US-NY",22
"North Carolina","US-NC",24
"North Dakota","US-ND",26
"Ohio","US-OH",27
"Oklahoma","US-OK",27
"Oregon","US-OR",27
"Pennsylvania","US-PA",26
"Rhode Island","US-RI",32
"South Carolina","US-SC",26
"South Dakota","US-SD",25
"Tennessee","US-TN",23
"Texas","US-TX",19
"Utah","US-UT",24
"Vermont","US-VT",25
"Virginia","US-VA",28
"Washington","US-WA",29
"West Virginia","US-WV",29
"Wisconsin","US-WI",27
"Wyoming","US-WY",34
