"","geoCode","/m/012gx2"
"Alabama","US-AL",35
"Alaska","US-AK",37
"Arizona","US-AZ",44
"Arkansas","US-AR",36
"California","US-CA",43
"Colorado","US-CO",42
"Connecticut","US-CT",50
"Delaware","US-DE",72
"District of Columbia","US-DC",100
"Florida","US-FL",45
"Georgia","US-GA",40
"Hawaii","US-HI",41
"Idaho","US-ID",40
"Illinois","US-IL",38
"Indiana","US-IN",41
"Iowa","US-IA",36
"Kansas","US-KS",40
"Kentucky","US-KY",37
"Louisiana","US-LA",34
"Maine","US-ME",49
"Maryland","US-MD",44
"Massachusetts","US-MA",47
"Michigan","US-MI",39
"Minnesota","US-MN",44
"Mississippi","US-MS",30
"Missouri","US-MO",41
"Montana","US-MT",48
"Nebraska","US-NE",41
"Nevada","US-NV",37
"New Hampshire","US-NH",56
"New Jersey","US-NJ",44
"New Mexico","US-NM",40
"New York","US-NY",46
"North Carolina","US-NC",37
"North Dakota","US-ND",33
"Ohio","US-OH",37
"Oklahoma","US-OK",39
"Oregon","US-OR",52
"Pennsylvania","US-PA",65
"Rhode Island","US-RI",44
"South Carolina","US-SC",37
"South Dakota","US-SD",50
"Tennessee","US-TN",39
"Texas","US-TX",35
"Utah","US-UT",35
"Vermont","US-VT",53
"Virginia","US-VA",42
"Washington","US-WA",46
"West Virginia","US-WV",51
"Wisconsin","US-WI",41
"Wyoming","US-WY",41
