"","geoCode","/m/012gx2"
"Alabama","US-AL",43
"Alaska","US-AK",48
"Arizona","US-AZ",52
"Arkansas","US-AR",42
"California","US-CA",36
"Colorado","US-CO",46
"Connecticut","US-CT",51
"Delaware","US-DE",86
"District of Columbia","US-DC",100
"Florida","US-FL",45
"Georgia","US-GA",39
"Hawaii","US-HI",45
"Idaho","US-ID",52
"Illinois","US-IL",46
"Indiana","US-IN",50
"Iowa","US-IA",55
"Kansas","US-KS",49
"Kentucky","US-KY",43
"Louisiana","US-LA",34
"Maine","US-ME",58
"Maryland","US-MD",56
"Massachusetts","US-MA",49
"Michigan","US-MI",48
"Minnesota","US-MN",48
"Mississippi","US-MS",35
"Missouri","US-MO",49
"Montana","US-MT",56
"Nebraska","US-NE",50
"Nevada","US-NV",41
"New Hampshire","US-NH",62
"New Jersey","US-NJ",49
"New Mexico","US-NM",48
"New York","US-NY",39
"North Carolina","US-NC",41
"North Dakota","US-ND",54
"Ohio","US-OH",49
"Oklahoma","US-OK",47
"Oregon","US-OR",47
"Pennsylvania","US-PA",53
"Rhode Island","US-RI",53
"South Carolina","US-SC",48
"South Dakota","US-SD",51
"Tennessee","US-TN",45
"Texas","US-TX",36
"Utah","US-UT",41
"Vermont","US-VT",55
"Virginia","US-VA",50
"Washington","US-WA",46
"West Virginia","US-WV",54
"Wisconsin","US-WI",51
"Wyoming","US-WY",43
