"","geoCode","/m/012gx2"
"Alabama","US-AL",40
"Alaska","US-AK",37
"Arizona","US-AZ",38
"Arkansas","US-AR",36
"California","US-CA",34
"Colorado","US-CO",41
"Connecticut","US-CT",41
"Delaware","US-DE",58
"District of Columbia","US-DC",100
"Florida","US-FL",41
"Georgia","US-GA",32
"Hawaii","US-HI",35
"Idaho","US-ID",44
"Illinois","US-IL",36
"Indiana","US-IN",39
"Iowa","US-IA",43
"Kansas","US-KS",39
"Kentucky","US-KY",41
"Louisiana","US-LA",32
"Maine","US-ME",45
"Maryland","US-MD",41
"Massachusetts","US-MA",39
"Michigan","US-MI",40
"Minnesota","US-MN",45
"Mississippi","US-MS",36
"Missouri","US-MO",41
"Montana","US-MT",44
"Nebraska","US-NE",37
"Nevada","US-NV",35
"New Hampshire","US-NH",47
"New Jersey","US-NJ",38
"New Mexico","US-NM",39
"New York","US-NY",35
"North Carolina","US-NC",35
"North Dakota","US-ND",49
"Ohio","US-OH",45
"Oklahoma","US-OK",38
"Oregon","US-OR",36
"Pennsylvania","US-PA",42
"Rhode Island","US-RI",38
"South Carolina","US-SC",37
"South Dakota","US-SD",41
"Tennessee","US-TN",37
"Texas","US-TX",34
"Utah","US-UT",34
"Vermont","US-VT",47
"Virginia","US-VA",42
"Washington","US-WA",38
"West Virginia","US-WV",44
"Wisconsin","US-WI",43
"Wyoming","US-WY",45
