"","geoCode","/m/012gx2"
"Alabama","US-AL",44
"Alaska","US-AK",69
"Arizona","US-AZ",53
"Arkansas","US-AR",51
"California","US-CA",44
"Colorado","US-CO",52
"Connecticut","US-CT",52
"Delaware","US-DE",61
"District of Columbia","US-DC",100
"Florida","US-FL",50
"Georgia","US-GA",42
"Hawaii","US-HI",44
"Idaho","US-ID",61
"Illinois","US-IL",46
"Indiana","US-IN",49
"Iowa","US-IA",55
"Kansas","US-KS",52
"Kentucky","US-KY",46
"Louisiana","US-LA",40
"Maine","US-ME",63
"Maryland","US-MD",56
"Massachusetts","US-MA",58
"Michigan","US-MI",54
"Minnesota","US-MN",87
"Mississippi","US-MS",45
"Missouri","US-MO",50
"Montana","US-MT",53
"Nebraska","US-NE",49
"Nevada","US-NV",50
"New Hampshire","US-NH",62
"New Jersey","US-NJ",51
"New Mexico","US-NM",47
"New York","US-NY",42
"North Carolina","US-NC",47
"North Dakota","US-ND",58
"Ohio","US-OH",48
"Oklahoma","US-OK",46
"Oregon","US-OR",51
"Pennsylvania","US-PA",56
"Rhode Island","US-RI",55
"South Carolina","US-SC",44
"South Dakota","US-SD",55
"Tennessee","US-TN",46
"Texas","US-TX",42
"Utah","US-UT",41
"Vermont","US-VT",46
"Virginia","US-VA",53
"Washington","US-WA",52
"West Virginia","US-WV",58
"Wisconsin","US-WI",59
"Wyoming","US-WY",60
