"","geoCode","/m/012gx2"
"Alabama","US-AL",50
"Alaska","US-AK",74
"Arizona","US-AZ",61
"Arkansas","US-AR",61
"California","US-CA",60
"Colorado","US-CO",61
"Connecticut","US-CT",62
"Delaware","US-DE",87
"District of Columbia","US-DC",100
"Florida","US-FL",57
"Georgia","US-GA",61
"Hawaii","US-HI",52
"Idaho","US-ID",62
"Illinois","US-IL",62
"Indiana","US-IN",59
"Iowa","US-IA",63
"Kansas","US-KS",59
"Kentucky","US-KY",57
"Louisiana","US-LA",49
"Maine","US-ME",71
"Maryland","US-MD",67
"Massachusetts","US-MA",74
"Michigan","US-MI",69
"Minnesota","US-MN",63
"Mississippi","US-MS",48
"Missouri","US-MO",58
"Montana","US-MT",64
"Nebraska","US-NE",63
"Nevada","US-NV",55
"New Hampshire","US-NH",73
"New Jersey","US-NJ",66
"New Mexico","US-NM",61
"New York","US-NY",61
"North Carolina","US-NC",54
"North Dakota","US-ND",61
"Ohio","US-OH",61
"Oklahoma","US-OK",59
"Oregon","US-OR",64
"Pennsylvania","US-PA",64
"Rhode Island","US-RI",86
"South Carolina","US-SC",49
"South Dakota","US-SD",62
"Tennessee","US-TN",59
"Texas","US-TX",53
"Utah","US-UT",61
"Vermont","US-VT",75
"Virginia","US-VA",65
"Washington","US-WA",68
"West Virginia","US-WV",69
"Wisconsin","US-WI",60
"Wyoming","US-WY",71
