"","geoCode","/m/012gx2"
"Alabama","US-AL",29
"Alaska","US-AK",25
"Arizona","US-AZ",35
"Arkansas","US-AR",33
"California","US-CA",27
"Colorado","US-CO",34
"Connecticut","US-CT",40
"Delaware","US-DE",57
"District of Columbia","US-DC",100
"Florida","US-FL",30
"Georgia","US-GA",29
"Hawaii","US-HI",23
"Idaho","US-ID",37
"Illinois","US-IL",32
"Indiana","US-IN",34
"Iowa","US-IA",37
"Kansas","US-KS",36
"Kentucky","US-KY",35
"Louisiana","US-LA",28
"Maine","US-ME",39
"Maryland","US-MD",40
"Massachusetts","US-MA",36
"Michigan","US-MI",39
"Minnesota","US-MN",33
"Mississippi","US-MS",28
"Missouri","US-MO",35
"Montana","US-MT",34
"Nebraska","US-NE",35
"Nevada","US-NV",30
"New Hampshire","US-NH",45
"New Jersey","US-NJ",35
"New Mexico","US-NM",38
"New York","US-NY",27
"North Carolina","US-NC",32
"North Dakota","US-ND",32
"Ohio","US-OH",35
"Oklahoma","US-OK",38
"Oregon","US-OR",37
"Pennsylvania","US-PA",37
"Rhode Island","US-RI",37
"South Carolina","US-SC",33
"South Dakota","US-SD",28
"Tennessee","US-TN",35
"Texas","US-TX",26
"Utah","US-UT",31
"Vermont","US-VT",35
"Virginia","US-VA",37
"Washington","US-WA",33
"West Virginia","US-WV",44
"Wisconsin","US-WI",38
"Wyoming","US-WY",25
