"","geoCode","/m/012gx2"
"Alabama","US-AL",61
"Alaska","US-AK",73
"Arizona","US-AZ",68
"Arkansas","US-AR",63
"California","US-CA",60
"Colorado","US-CO",61
"Connecticut","US-CT",66
"Delaware","US-DE",89
"District of Columbia","US-DC",100
"Florida","US-FL",66
"Georgia","US-GA",61
"Hawaii","US-HI",53
"Idaho","US-ID",75
"Illinois","US-IL",60
"Indiana","US-IN",58
"Iowa","US-IA",67
"Kansas","US-KS",66
"Kentucky","US-KY",62
"Louisiana","US-LA",54
"Maine","US-ME",74
"Maryland","US-MD",58
"Massachusetts","US-MA",76
"Michigan","US-MI",63
"Minnesota","US-MN",64
"Mississippi","US-MS",52
"Missouri","US-MO",60
"Montana","US-MT",73
"Nebraska","US-NE",69
"Nevada","US-NV",60
"New Hampshire","US-NH",79
"New Jersey","US-NJ",74
"New Mexico","US-NM",61
"New York","US-NY",56
"North Carolina","US-NC",67
"North Dakota","US-ND",78
"Ohio","US-OH",71
"Oklahoma","US-OK",70
"Oregon","US-OR",61
"Pennsylvania","US-PA",79
"Rhode Island","US-RI",64
"South Carolina","US-SC",60
"South Dakota","US-SD",72
"Tennessee","US-TN",60
"Texas","US-TX",59
"Utah","US-UT",65
"Vermont","US-VT",75
"Virginia","US-VA",74
"Washington","US-WA",63
"West Virginia","US-WV",76
"Wisconsin","US-WI",63
"Wyoming","US-WY",76
