"","geoCode","/m/012gx2"
"Alabama","US-AL",36
"Alaska","US-AK",44
"Arizona","US-AZ",41
"Arkansas","US-AR",32
"California","US-CA",40
"Colorado","US-CO",42
"Connecticut","US-CT",50
"Delaware","US-DE",71
"District of Columbia","US-DC",100
"Florida","US-FL",42
"Georgia","US-GA",32
"Hawaii","US-HI",36
"Idaho","US-ID",40
"Illinois","US-IL",42
"Indiana","US-IN",36
"Iowa","US-IA",38
"Kansas","US-KS",37
"Kentucky","US-KY",38
"Louisiana","US-LA",30
"Maine","US-ME",51
"Maryland","US-MD",44
"Massachusetts","US-MA",51
"Michigan","US-MI",42
"Minnesota","US-MN",44
"Mississippi","US-MS",30
"Missouri","US-MO",40
"Montana","US-MT",44
"Nebraska","US-NE",39
"Nevada","US-NV",42
"New Hampshire","US-NH",59
"New Jersey","US-NJ",45
"New Mexico","US-NM",35
"New York","US-NY",49
"North Carolina","US-NC",36
"North Dakota","US-ND",41
"Ohio","US-OH",39
"Oklahoma","US-OK",34
"Oregon","US-OR",52
"Pennsylvania","US-PA",57
"Rhode Island","US-RI",59
"South Carolina","US-SC",37
"South Dakota","US-SD",41
"Tennessee","US-TN",37
"Texas","US-TX",31
"Utah","US-UT",35
"Vermont","US-VT",60
"Virginia","US-VA",46
"Washington","US-WA",43
"West Virginia","US-WV",39
"Wisconsin","US-WI",44
"Wyoming","US-WY",46
