"","geoCode","/m/012gx2"
"Alabama","US-AL",32
"Alaska","US-AK",34
"Arizona","US-AZ",32
"Arkansas","US-AR",31
"California","US-CA",31
"Colorado","US-CO",32
"Connecticut","US-CT",37
"Delaware","US-DE",52
"District of Columbia","US-DC",100
"Florida","US-FL",41
"Georgia","US-GA",25
"Hawaii","US-HI",27
"Idaho","US-ID",35
"Illinois","US-IL",34
"Indiana","US-IN",32
"Iowa","US-IA",35
"Kansas","US-KS",33
"Kentucky","US-KY",32
"Louisiana","US-LA",28
"Maine","US-ME",40
"Maryland","US-MD",36
"Massachusetts","US-MA",36
"Michigan","US-MI",32
"Minnesota","US-MN",39
"Mississippi","US-MS",26
"Missouri","US-MO",33
"Montana","US-MT",44
"Nebraska","US-NE",38
"Nevada","US-NV",31
"New Hampshire","US-NH",43
"New Jersey","US-NJ",35
"New Mexico","US-NM",33
"New York","US-NY",30
"North Carolina","US-NC",28
"North Dakota","US-ND",31
"Ohio","US-OH",31
"Oklahoma","US-OK",33
"Oregon","US-OR",36
"Pennsylvania","US-PA",34
"Rhode Island","US-RI",40
"South Carolina","US-SC",31
"South Dakota","US-SD",35
"Tennessee","US-TN",31
"Texas","US-TX",29
"Utah","US-UT",29
"Vermont","US-VT",42
"Virginia","US-VA",32
"Washington","US-WA",32
"West Virginia","US-WV",36
"Wisconsin","US-WI",50
"Wyoming","US-WY",40
