"","geoCode","/m/012gx2"
"Alabama","US-AL",41
"Alaska","US-AK",53
"Arizona","US-AZ",41
"Arkansas","US-AR",42
"California","US-CA",36
"Colorado","US-CO",38
"Connecticut","US-CT",43
"Delaware","US-DE",84
"District of Columbia","US-DC",100
"Florida","US-FL",46
"Georgia","US-GA",35
"Hawaii","US-HI",43
"Idaho","US-ID",45
"Illinois","US-IL",37
"Indiana","US-IN",44
"Iowa","US-IA",45
"Kansas","US-KS",42
"Kentucky","US-KY",42
"Louisiana","US-LA",38
"Maine","US-ME",48
"Maryland","US-MD",45
"Massachusetts","US-MA",46
"Michigan","US-MI",44
"Minnesota","US-MN",42
"Mississippi","US-MS",32
"Missouri","US-MO",39
"Montana","US-MT",49
"Nebraska","US-NE",44
"Nevada","US-NV",43
"New Hampshire","US-NH",49
"New Jersey","US-NJ",42
"New Mexico","US-NM",41
"New York","US-NY",40
"North Carolina","US-NC",37
"North Dakota","US-ND",42
"Ohio","US-OH",40
"Oklahoma","US-OK",42
"Oregon","US-OR",43
"Pennsylvania","US-PA",43
"Rhode Island","US-RI",49
"South Carolina","US-SC",35
"South Dakota","US-SD",43
"Tennessee","US-TN",39
"Texas","US-TX",39
"Utah","US-UT",40
"Vermont","US-VT",43
"Virginia","US-VA",41
"Washington","US-WA",40
"West Virginia","US-WV",39
"Wisconsin","US-WI",42
"Wyoming","US-WY",51
