"","geoCode","/m/012gx2"
"Alabama","US-AL",29
"Alaska","US-AK",38
"Arizona","US-AZ",38
"Arkansas","US-AR",33
"California","US-CA",30
"Colorado","US-CO",32
"Connecticut","US-CT",39
"Delaware","US-DE",50
"District of Columbia","US-DC",100
"Florida","US-FL",32
"Georgia","US-GA",28
"Hawaii","US-HI",33
"Idaho","US-ID",34
"Illinois","US-IL",32
"Indiana","US-IN",32
"Iowa","US-IA",36
"Kansas","US-KS",30
"Kentucky","US-KY",31
"Louisiana","US-LA",28
"Maine","US-ME",35
"Maryland","US-MD",36
"Massachusetts","US-MA",36
"Michigan","US-MI",37
"Minnesota","US-MN",34
"Mississippi","US-MS",28
"Missouri","US-MO",33
"Montana","US-MT",40
"Nebraska","US-NE",32
"Nevada","US-NV",35
"New Hampshire","US-NH",49
"New Jersey","US-NJ",37
"New Mexico","US-NM",38
"New York","US-NY",44
"North Carolina","US-NC",30
"North Dakota","US-ND",31
"Ohio","US-OH",33
"Oklahoma","US-OK",33
"Oregon","US-OR",34
"Pennsylvania","US-PA",36
"Rhode Island","US-RI",36
"South Carolina","US-SC",32
"South Dakota","US-SD",41
"Tennessee","US-TN",32
"Texas","US-TX",28
"Utah","US-UT",30
"Vermont","US-VT",39
"Virginia","US-VA",34
"Washington","US-WA",34
"West Virginia","US-WV",38
"Wisconsin","US-WI",35
"Wyoming","US-WY",34
