"","geoCode","/m/012gx2"
"Alabama","US-AL",33
"Alaska","US-AK",96
"Arizona","US-AZ",41
"Arkansas","US-AR",37
"California","US-CA",33
"Colorado","US-CO",38
"Connecticut","US-CT",42
"Delaware","US-DE",53
"District of Columbia","US-DC",100
"Florida","US-FL",35
"Georgia","US-GA",30
"Hawaii","US-HI",30
"Idaho","US-ID",44
"Illinois","US-IL",34
"Indiana","US-IN",40
"Iowa","US-IA",40
"Kansas","US-KS",36
"Kentucky","US-KY",37
"Louisiana","US-LA",28
"Maine","US-ME",45
"Maryland","US-MD",44
"Massachusetts","US-MA",38
"Michigan","US-MI",40
"Minnesota","US-MN",39
"Mississippi","US-MS",30
"Missouri","US-MO",39
"Montana","US-MT",33
"Nebraska","US-NE",41
"Nevada","US-NV",36
"New Hampshire","US-NH",47
"New Jersey","US-NJ",37
"New Mexico","US-NM",33
"New York","US-NY",33
"North Carolina","US-NC",33
"North Dakota","US-ND",40
"Ohio","US-OH",36
"Oklahoma","US-OK",37
"Oregon","US-OR",38
"Pennsylvania","US-PA",39
"Rhode Island","US-RI",39
"South Carolina","US-SC",34
"South Dakota","US-SD",42
"Tennessee","US-TN",37
"Texas","US-TX",32
"Utah","US-UT",39
"Vermont","US-VT",50
"Virginia","US-VA",37
"Washington","US-WA",35
"West Virginia","US-WV",47
"Wisconsin","US-WI",39
"Wyoming","US-WY",36
