"","geoCode","/m/012gx2"
"Alabama","US-AL",43
"Alaska","US-AK",49
"Arizona","US-AZ",46
"Arkansas","US-AR",46
"California","US-CA",39
"Colorado","US-CO",46
"Connecticut","US-CT",47
"Delaware","US-DE",75
"District of Columbia","US-DC",100
"Florida","US-FL",47
"Georgia","US-GA",37
"Hawaii","US-HI",39
"Idaho","US-ID",69
"Illinois","US-IL",43
"Indiana","US-IN",49
"Iowa","US-IA",54
"Kansas","US-KS",50
"Kentucky","US-KY",45
"Louisiana","US-LA",37
"Maine","US-ME",57
"Maryland","US-MD",46
"Massachusetts","US-MA",48
"Michigan","US-MI",46
"Minnesota","US-MN",52
"Mississippi","US-MS",42
"Missouri","US-MO",49
"Montana","US-MT",56
"Nebraska","US-NE",51
"Nevada","US-NV",44
"New Hampshire","US-NH",59
"New Jersey","US-NJ",45
"New Mexico","US-NM",49
"New York","US-NY",44
"North Carolina","US-NC",40
"North Dakota","US-ND",52
"Ohio","US-OH",46
"Oklahoma","US-OK",48
"Oregon","US-OR",46
"Pennsylvania","US-PA",54
"Rhode Island","US-RI",47
"South Carolina","US-SC",41
"South Dakota","US-SD",55
"Tennessee","US-TN",47
"Texas","US-TX",42
"Utah","US-UT",44
"Vermont","US-VT",47
"Virginia","US-VA",44
"Washington","US-WA",47
"West Virginia","US-WV",59
"Wisconsin","US-WI",52
"Wyoming","US-WY",71
