"","geoCode","/m/012gx2"
"Alabama","US-AL",43
"Alaska","US-AK",43
"Arizona","US-AZ",46
"Arkansas","US-AR",42
"California","US-CA",37
"Colorado","US-CO",42
"Connecticut","US-CT",44
"Delaware","US-DE",85
"District of Columbia","US-DC",100
"Florida","US-FL",43
"Georgia","US-GA",36
"Hawaii","US-HI",32
"Idaho","US-ID",47
"Illinois","US-IL",40
"Indiana","US-IN",49
"Iowa","US-IA",49
"Kansas","US-KS",49
"Kentucky","US-KY",49
"Louisiana","US-LA",38
"Maine","US-ME",60
"Maryland","US-MD",48
"Massachusetts","US-MA",46
"Michigan","US-MI",50
"Minnesota","US-MN",50
"Mississippi","US-MS",38
"Missouri","US-MO",49
"Montana","US-MT",51
"Nebraska","US-NE",49
"Nevada","US-NV",42
"New Hampshire","US-NH",55
"New Jersey","US-NJ",42
"New Mexico","US-NM",45
"New York","US-NY",37
"North Carolina","US-NC",38
"North Dakota","US-ND",44
"Ohio","US-OH",47
"Oklahoma","US-OK",42
"Oregon","US-OR",45
"Pennsylvania","US-PA",49
"Rhode Island","US-RI",50
"South Carolina","US-SC",38
"South Dakota","US-SD",44
"Tennessee","US-TN",47
"Texas","US-TX",42
"Utah","US-UT",41
"Vermont","US-VT",60
"Virginia","US-VA",46
"Washington","US-WA",43
"West Virginia","US-WV",60
"Wisconsin","US-WI",52
"Wyoming","US-WY",45
