"","geoCode","/m/012gx2"
"Alabama","US-AL",32
"Alaska","US-AK",36
"Arizona","US-AZ",38
"Arkansas","US-AR",35
"California","US-CA",43
"Colorado","US-CO",51
"Connecticut","US-CT",47
"Delaware","US-DE",76
"District of Columbia","US-DC",100
"Florida","US-FL",34
"Georgia","US-GA",30
"Hawaii","US-HI",33
"Idaho","US-ID",35
"Illinois","US-IL",37
"Indiana","US-IN",30
"Iowa","US-IA",41
"Kansas","US-KS",38
"Kentucky","US-KY",35
"Louisiana","US-LA",27
"Maine","US-ME",45
"Maryland","US-MD",45
"Massachusetts","US-MA",51
"Michigan","US-MI",36
"Minnesota","US-MN",40
"Mississippi","US-MS",28
"Missouri","US-MO",35
"Montana","US-MT",43
"Nebraska","US-NE",31
"Nevada","US-NV",76
"New Hampshire","US-NH",50
"New Jersey","US-NJ",42
"New Mexico","US-NM",38
"New York","US-NY",39
"North Carolina","US-NC",36
"North Dakota","US-ND",40
"Ohio","US-OH",34
"Oklahoma","US-OK",34
"Oregon","US-OR",48
"Pennsylvania","US-PA",43
"Rhode Island","US-RI",38
"South Carolina","US-SC",42
"South Dakota","US-SD",40
"Tennessee","US-TN",41
"Texas","US-TX",30
"Utah","US-UT",29
"Vermont","US-VT",65
"Virginia","US-VA",45
"Washington","US-WA",48
"West Virginia","US-WV",22
"Wisconsin","US-WI",36
"Wyoming","US-WY",36
