"","geoCode","/m/012gx2"
"Alabama","US-AL",52
"Alaska","US-AK",76
"Arizona","US-AZ",93
"Arkansas","US-AR",63
"California","US-CA",70
"Colorado","US-CO",80
"Connecticut","US-CT",82
"Delaware","US-DE",98
"District of Columbia","US-DC",100
"Florida","US-FL",83
"Georgia","US-GA",56
"Hawaii","US-HI",63
"Idaho","US-ID",70
"Illinois","US-IL",72
"Indiana","US-IN",76
"Iowa","US-IA",71
"Kansas","US-KS",65
"Kentucky","US-KY",60
"Louisiana","US-LA",51
"Maine","US-ME",93
"Maryland","US-MD",74
"Massachusetts","US-MA",92
"Michigan","US-MI",88
"Minnesota","US-MN",89
"Mississippi","US-MS",50
"Missouri","US-MO",66
"Montana","US-MT",72
"Nebraska","US-NE",76
"Nevada","US-NV",66
"New Hampshire","US-NH",96
"New Jersey","US-NJ",77
"New Mexico","US-NM",62
"New York","US-NY",68
"North Carolina","US-NC",76
"North Dakota","US-ND",72
"Ohio","US-OH",86
"Oklahoma","US-OK",64
"Oregon","US-OR",79
"Pennsylvania","US-PA",95
"Rhode Island","US-RI",78
"South Carolina","US-SC",57
"South Dakota","US-SD",71
"Tennessee","US-TN",65
"Texas","US-TX",66
"Utah","US-UT",68
"Vermont","US-VT",92
"Virginia","US-VA",74
"Washington","US-WA",86
"West Virginia","US-WV",79
"Wisconsin","US-WI",85
"Wyoming","US-WY",71
