"","geoCode","/m/012gx2"
"Alabama","US-AL",61
"Alaska","US-AK",62
"Arizona","US-AZ",51
"Arkansas","US-AR",56
"California","US-CA",50
"Colorado","US-CO",48
"Connecticut","US-CT",58
"Delaware","US-DE",75
"District of Columbia","US-DC",100
"Florida","US-FL",56
"Georgia","US-GA",52
"Hawaii","US-HI",38
"Idaho","US-ID",67
"Illinois","US-IL",55
"Indiana","US-IN",53
"Iowa","US-IA",65
"Kansas","US-KS",56
"Kentucky","US-KY",56
"Louisiana","US-LA",51
"Maine","US-ME",72
"Maryland","US-MD",53
"Massachusetts","US-MA",54
"Michigan","US-MI",61
"Minnesota","US-MN",58
"Mississippi","US-MS",53
"Missouri","US-MO",59
"Montana","US-MT",65
"Nebraska","US-NE",59
"Nevada","US-NV",53
"New Hampshire","US-NH",76
"New Jersey","US-NJ",60
"New Mexico","US-NM",57
"New York","US-NY",49
"North Carolina","US-NC",61
"North Dakota","US-ND",60
"Ohio","US-OH",61
"Oklahoma","US-OK",60
"Oregon","US-OR",51
"Pennsylvania","US-PA",69
"Rhode Island","US-RI",62
"South Carolina","US-SC",56
"South Dakota","US-SD",65
"Tennessee","US-TN",58
"Texas","US-TX",58
"Utah","US-UT",56
"Vermont","US-VT",71
"Virginia","US-VA",61
"Washington","US-WA",46
"West Virginia","US-WV",67
"Wisconsin","US-WI",58
"Wyoming","US-WY",80
