"","geoCode","/m/012gx2"
"Alabama","US-AL",27
"Alaska","US-AK",31
"Arizona","US-AZ",33
"Arkansas","US-AR",32
"California","US-CA",35
"Colorado","US-CO",34
"Connecticut","US-CT",37
"Delaware","US-DE",53
"District of Columbia","US-DC",100
"Florida","US-FL",33
"Georgia","US-GA",26
"Hawaii","US-HI",32
"Idaho","US-ID",39
"Illinois","US-IL",31
"Indiana","US-IN",33
"Iowa","US-IA",36
"Kansas","US-KS",33
"Kentucky","US-KY",27
"Louisiana","US-LA",25
"Maine","US-ME",39
"Maryland","US-MD",35
"Massachusetts","US-MA",38
"Michigan","US-MI",33
"Minnesota","US-MN",39
"Mississippi","US-MS",27
"Missouri","US-MO",34
"Montana","US-MT",39
"Nebraska","US-NE",34
"Nevada","US-NV",33
"New Hampshire","US-NH",45
"New Jersey","US-NJ",33
"New Mexico","US-NM",37
"New York","US-NY",36
"North Carolina","US-NC",28
"North Dakota","US-ND",41
"Ohio","US-OH",32
"Oklahoma","US-OK",31
"Oregon","US-OR",33
"Pennsylvania","US-PA",35
"Rhode Island","US-RI",35
"South Carolina","US-SC",29
"South Dakota","US-SD",36
"Tennessee","US-TN",30
"Texas","US-TX",29
"Utah","US-UT",33
"Vermont","US-VT",46
"Virginia","US-VA",33
"Washington","US-WA",32
"West Virginia","US-WV",31
"Wisconsin","US-WI",35
"Wyoming","US-WY",37
