"","geoCode","/m/012gx2"
"Alabama","US-AL",53
"Alaska","US-AK",68
"Arizona","US-AZ",62
"Arkansas","US-AR",58
"California","US-CA",52
"Colorado","US-CO",60
"Connecticut","US-CT",71
"Delaware","US-DE",73
"District of Columbia","US-DC",100
"Florida","US-FL",66
"Georgia","US-GA",51
"Hawaii","US-HI",46
"Idaho","US-ID",84
"Illinois","US-IL",57
"Indiana","US-IN",62
"Iowa","US-IA",64
"Kansas","US-KS",58
"Kentucky","US-KY",58
"Louisiana","US-LA",49
"Maine","US-ME",74
"Maryland","US-MD",59
"Massachusetts","US-MA",73
"Michigan","US-MI",61
"Minnesota","US-MN",73
"Mississippi","US-MS",49
"Missouri","US-MO",66
"Montana","US-MT",87
"Nebraska","US-NE",70
"Nevada","US-NV",58
"New Hampshire","US-NH",71
"New Jersey","US-NJ",61
"New Mexico","US-NM",66
"New York","US-NY",55
"North Carolina","US-NC",57
"North Dakota","US-ND",79
"Ohio","US-OH",61
"Oklahoma","US-OK",61
"Oregon","US-OR",62
"Pennsylvania","US-PA",69
"Rhode Island","US-RI",72
"South Carolina","US-SC",53
"South Dakota","US-SD",74
"Tennessee","US-TN",58
"Texas","US-TX",49
"Utah","US-UT",62
"Vermont","US-VT",80
"Virginia","US-VA",63
"Washington","US-WA",59
"West Virginia","US-WV",71
"Wisconsin","US-WI",69
"Wyoming","US-WY",74
