"","geoCode","/m/012gx2"
"Alabama","US-AL",39
"Alaska","US-AK",45
"Arizona","US-AZ",48
"Arkansas","US-AR",41
"California","US-CA",43
"Colorado","US-CO",46
"Connecticut","US-CT",55
"Delaware","US-DE",87
"District of Columbia","US-DC",100
"Florida","US-FL",48
"Georgia","US-GA",43
"Hawaii","US-HI",40
"Idaho","US-ID",45
"Illinois","US-IL",45
"Indiana","US-IN",45
"Iowa","US-IA",41
"Kansas","US-KS",44
"Kentucky","US-KY",38
"Louisiana","US-LA",42
"Maine","US-ME",54
"Maryland","US-MD",53
"Massachusetts","US-MA",50
"Michigan","US-MI",47
"Minnesota","US-MN",49
"Mississippi","US-MS",37
"Missouri","US-MO",46
"Montana","US-MT",47
"Nebraska","US-NE",48
"Nevada","US-NV",45
"New Hampshire","US-NH",56
"New Jersey","US-NJ",48
"New Mexico","US-NM",47
"New York","US-NY",52
"North Carolina","US-NC",43
"North Dakota","US-ND",49
"Ohio","US-OH",44
"Oklahoma","US-OK",43
"Oregon","US-OR",57
"Pennsylvania","US-PA",63
"Rhode Island","US-RI",63
"South Carolina","US-SC",48
"South Dakota","US-SD",41
"Tennessee","US-TN",47
"Texas","US-TX",39
"Utah","US-UT",40
"Vermont","US-VT",58
"Virginia","US-VA",51
"Washington","US-WA",47
"West Virginia","US-WV",44
"Wisconsin","US-WI",44
"Wyoming","US-WY",40
