"","geoCode","/m/012gx2"
"Alabama","US-AL",50
"Alaska","US-AK",63
"Arizona","US-AZ",82
"Arkansas","US-AR",56
"California","US-CA",64
"Colorado","US-CO",72
"Connecticut","US-CT",71
"Delaware","US-DE",85
"District of Columbia","US-DC",100
"Florida","US-FL",71
"Georgia","US-GA",50
"Hawaii","US-HI",56
"Idaho","US-ID",65
"Illinois","US-IL",65
"Indiana","US-IN",67
"Iowa","US-IA",64
"Kansas","US-KS",59
"Kentucky","US-KY",53
"Louisiana","US-LA",45
"Maine","US-ME",82
"Maryland","US-MD",74
"Massachusetts","US-MA",73
"Michigan","US-MI",77
"Minnesota","US-MN",82
"Mississippi","US-MS",40
"Missouri","US-MO",68
"Montana","US-MT",67
"Nebraska","US-NE",70
"Nevada","US-NV",63
"New Hampshire","US-NH",84
"New Jersey","US-NJ",70
"New Mexico","US-NM",62
"New York","US-NY",66
"North Carolina","US-NC",66
"North Dakota","US-ND",64
"Ohio","US-OH",77
"Oklahoma","US-OK",57
"Oregon","US-OR",69
"Pennsylvania","US-PA",91
"Rhode Island","US-RI",74
"South Carolina","US-SC",52
"South Dakota","US-SD",66
"Tennessee","US-TN",60
"Texas","US-TX",54
"Utah","US-UT",62
"Vermont","US-VT",87
"Virginia","US-VA",68
"Washington","US-WA",76
"West Virginia","US-WV",65
"Wisconsin","US-WI",78
"Wyoming","US-WY",60
