"","geoCode","/m/012gx2"
"Alabama","US-AL",36
"Alaska","US-AK",50
"Arizona","US-AZ",38
"Arkansas","US-AR",39
"California","US-CA",34
"Colorado","US-CO",39
"Connecticut","US-CT",39
"Delaware","US-DE",69
"District of Columbia","US-DC",100
"Florida","US-FL",44
"Georgia","US-GA",31
"Hawaii","US-HI",33
"Idaho","US-ID",46
"Illinois","US-IL",35
"Indiana","US-IN",35
"Iowa","US-IA",40
"Kansas","US-KS",36
"Kentucky","US-KY",39
"Louisiana","US-LA",33
"Maine","US-ME",45
"Maryland","US-MD",43
"Massachusetts","US-MA",42
"Michigan","US-MI",47
"Minnesota","US-MN",39
"Mississippi","US-MS",31
"Missouri","US-MO",40
"Montana","US-MT",43
"Nebraska","US-NE",37
"Nevada","US-NV",38
"New Hampshire","US-NH",53
"New Jersey","US-NJ",39
"New Mexico","US-NM",39
"New York","US-NY",33
"North Carolina","US-NC",35
"North Dakota","US-ND",41
"Ohio","US-OH",37
"Oklahoma","US-OK",41
"Oregon","US-OR",37
"Pennsylvania","US-PA",40
"Rhode Island","US-RI",33
"South Carolina","US-SC",48
"South Dakota","US-SD",34
"Tennessee","US-TN",39
"Texas","US-TX",32
"Utah","US-UT",34
"Vermont","US-VT",46
"Virginia","US-VA",39
"Washington","US-WA",37
"West Virginia","US-WV",51
"Wisconsin","US-WI",43
"Wyoming","US-WY",44
