"","geoCode","/m/012gx2"
"Alabama","US-AL",30
"Alaska","US-AK",35
"Arizona","US-AZ",38
"Arkansas","US-AR",33
"California","US-CA",33
"Colorado","US-CO",35
"Connecticut","US-CT",41
"Delaware","US-DE",56
"District of Columbia","US-DC",100
"Florida","US-FL",36
"Georgia","US-GA",30
"Hawaii","US-HI",31
"Idaho","US-ID",36
"Illinois","US-IL",32
"Indiana","US-IN",35
"Iowa","US-IA",34
"Kansas","US-KS",30
"Kentucky","US-KY",33
"Louisiana","US-LA",30
"Maine","US-ME",40
"Maryland","US-MD",39
"Massachusetts","US-MA",40
"Michigan","US-MI",36
"Minnesota","US-MN",36
"Mississippi","US-MS",24
"Missouri","US-MO",36
"Montana","US-MT",33
"Nebraska","US-NE",41
"Nevada","US-NV",33
"New Hampshire","US-NH",44
"New Jersey","US-NJ",37
"New Mexico","US-NM",42
"New York","US-NY",31
"North Carolina","US-NC",32
"North Dakota","US-ND",36
"Ohio","US-OH",36
"Oklahoma","US-OK",34
"Oregon","US-OR",39
"Pennsylvania","US-PA",38
"Rhode Island","US-RI",37
"South Carolina","US-SC",34
"South Dakota","US-SD",34
"Tennessee","US-TN",35
"Texas","US-TX",32
"Utah","US-UT",34
"Vermont","US-VT",48
"Virginia","US-VA",42
"Washington","US-WA",36
"West Virginia","US-WV",38
"Wisconsin","US-WI",37
"Wyoming","US-WY",36
