"","geoCode","/m/012gx2"
"Alabama","US-AL",26
"Alaska","US-AK",0
"Arizona","US-AZ",29
"Arkansas","US-AR",28
"California","US-CA",31
"Colorado","US-CO",34
"Connecticut","US-CT",29
"Delaware","US-DE",43
"District of Columbia","US-DC",100
"Florida","US-FL",25
"Georgia","US-GA",22
"Hawaii","US-HI",19
"Idaho","US-ID",37
"Illinois","US-IL",30
"Indiana","US-IN",26
"Iowa","US-IA",97
"Kansas","US-KS",23
"Kentucky","US-KY",27
"Louisiana","US-LA",14
"Maine","US-ME",30
"Maryland","US-MD",40
"Massachusetts","US-MA",39
"Michigan","US-MI",32
"Minnesota","US-MN",32
"Mississippi","US-MS",26
"Missouri","US-MO",33
"Montana","US-MT",37
"Nebraska","US-NE",32
"Nevada","US-NV",41
"New Hampshire","US-NH",56
"New Jersey","US-NJ",32
"New Mexico","US-NM",23
"New York","US-NY",33
"North Carolina","US-NC",30
"North Dakota","US-ND",0
"Ohio","US-OH",29
"Oklahoma","US-OK",22
"Oregon","US-OR",32
"Pennsylvania","US-PA",38
"Rhode Island","US-RI",0
"South Carolina","US-SC",30
"South Dakota","US-SD",0
"Tennessee","US-TN",22
"Texas","US-TX",21
"Utah","US-UT",23
"Vermont","US-VT",40
"Virginia","US-VA",38
"Washington","US-WA",30
"West Virginia","US-WV",37
"Wisconsin","US-WI",27
"Wyoming","US-WY",0
