"","geoCode","/m/012gx2"
"Alabama","US-AL",40
"Alaska","US-AK",50
"Arizona","US-AZ",48
"Arkansas","US-AR",49
"California","US-CA",39
"Colorado","US-CO",45
"Connecticut","US-CT",44
"Delaware","US-DE",70
"District of Columbia","US-DC",100
"Florida","US-FL",48
"Georgia","US-GA",36
"Hawaii","US-HI",37
"Idaho","US-ID",50
"Illinois","US-IL",42
"Indiana","US-IN",47
"Iowa","US-IA",49
"Kansas","US-KS",48
"Kentucky","US-KY",46
"Louisiana","US-LA",42
"Maine","US-ME",47
"Maryland","US-MD",41
"Massachusetts","US-MA",42
"Michigan","US-MI",44
"Minnesota","US-MN",49
"Mississippi","US-MS",43
"Missouri","US-MO",51
"Montana","US-MT",50
"Nebraska","US-NE",46
"Nevada","US-NV",42
"New Hampshire","US-NH",59
"New Jersey","US-NJ",42
"New Mexico","US-NM",46
"New York","US-NY",40
"North Carolina","US-NC",38
"North Dakota","US-ND",45
"Ohio","US-OH",55
"Oklahoma","US-OK",50
"Oregon","US-OR",49
"Pennsylvania","US-PA",49
"Rhode Island","US-RI",46
"South Carolina","US-SC",43
"South Dakota","US-SD",51
"Tennessee","US-TN",46
"Texas","US-TX",41
"Utah","US-UT",47
"Vermont","US-VT",46
"Virginia","US-VA",40
"Washington","US-WA",41
"West Virginia","US-WV",53
"Wisconsin","US-WI",47
"Wyoming","US-WY",46
