"","geoCode","/m/012gx2"
"Alabama","US-AL",40
"Alaska","US-AK",45
"Arizona","US-AZ",46
"Arkansas","US-AR",43
"California","US-CA",36
"Colorado","US-CO",41
"Connecticut","US-CT",44
"Delaware","US-DE",58
"District of Columbia","US-DC",100
"Florida","US-FL",42
"Georgia","US-GA",38
"Hawaii","US-HI",40
"Idaho","US-ID",51
"Illinois","US-IL",39
"Indiana","US-IN",52
"Iowa","US-IA",50
"Kansas","US-KS",46
"Kentucky","US-KY",42
"Louisiana","US-LA",37
"Maine","US-ME",50
"Maryland","US-MD",44
"Massachusetts","US-MA",49
"Michigan","US-MI",47
"Minnesota","US-MN",48
"Mississippi","US-MS",37
"Missouri","US-MO",45
"Montana","US-MT",50
"Nebraska","US-NE",52
"Nevada","US-NV",42
"New Hampshire","US-NH",58
"New Jersey","US-NJ",45
"New Mexico","US-NM",41
"New York","US-NY",39
"North Carolina","US-NC",40
"North Dakota","US-ND",46
"Ohio","US-OH",41
"Oklahoma","US-OK",46
"Oregon","US-OR",46
"Pennsylvania","US-PA",47
"Rhode Island","US-RI",48
"South Carolina","US-SC",44
"South Dakota","US-SD",47
"Tennessee","US-TN",43
"Texas","US-TX",36
"Utah","US-UT",38
"Vermont","US-VT",58
"Virginia","US-VA",41
"Washington","US-WA",43
"West Virginia","US-WV",45
"Wisconsin","US-WI",54
"Wyoming","US-WY",45
