"","geoCode","/m/012gx2"
"Alabama","US-AL",44
"Alaska","US-AK",52
"Arizona","US-AZ",61
"Arkansas","US-AR",52
"California","US-CA",51
"Colorado","US-CO",51
"Connecticut","US-CT",58
"Delaware","US-DE",83
"District of Columbia","US-DC",100
"Florida","US-FL",58
"Georgia","US-GA",43
"Hawaii","US-HI",43
"Idaho","US-ID",49
"Illinois","US-IL",47
"Indiana","US-IN",48
"Iowa","US-IA",49
"Kansas","US-KS",50
"Kentucky","US-KY",46
"Louisiana","US-LA",43
"Maine","US-ME",62
"Maryland","US-MD",50
"Massachusetts","US-MA",53
"Michigan","US-MI",50
"Minnesota","US-MN",59
"Mississippi","US-MS",34
"Missouri","US-MO",49
"Montana","US-MT",52
"Nebraska","US-NE",49
"Nevada","US-NV",51
"New Hampshire","US-NH",64
"New Jersey","US-NJ",61
"New Mexico","US-NM",52
"New York","US-NY",57
"North Carolina","US-NC",46
"North Dakota","US-ND",46
"Ohio","US-OH",48
"Oklahoma","US-OK",60
"Oregon","US-OR",61
"Pennsylvania","US-PA",76
"Rhode Island","US-RI",58
"South Carolina","US-SC",48
"South Dakota","US-SD",49
"Tennessee","US-TN",44
"Texas","US-TX",46
"Utah","US-UT",48
"Vermont","US-VT",66
"Virginia","US-VA",52
"Washington","US-WA",51
"West Virginia","US-WV",52
"Wisconsin","US-WI",55
"Wyoming","US-WY",44
