"","geoCode","/m/012gx2"
"Alabama","US-AL",53
"Alaska","US-AK",68
"Arizona","US-AZ",60
"Arkansas","US-AR",53
"California","US-CA",47
"Colorado","US-CO",50
"Connecticut","US-CT",60
"Delaware","US-DE",75
"District of Columbia","US-DC",100
"Florida","US-FL",58
"Georgia","US-GA",52
"Hawaii","US-HI",45
"Idaho","US-ID",60
"Illinois","US-IL",58
"Indiana","US-IN",57
"Iowa","US-IA",61
"Kansas","US-KS",59
"Kentucky","US-KY",53
"Louisiana","US-LA",47
"Maine","US-ME",70
"Maryland","US-MD",57
"Massachusetts","US-MA",65
"Michigan","US-MI",63
"Minnesota","US-MN",61
"Mississippi","US-MS",50
"Missouri","US-MO",53
"Montana","US-MT",66
"Nebraska","US-NE",63
"Nevada","US-NV",52
"New Hampshire","US-NH",72
"New Jersey","US-NJ",58
"New Mexico","US-NM",58
"New York","US-NY",51
"North Carolina","US-NC",54
"North Dakota","US-ND",60
"Ohio","US-OH",60
"Oklahoma","US-OK",55
"Oregon","US-OR",56
"Pennsylvania","US-PA",68
"Rhode Island","US-RI",60
"South Carolina","US-SC",50
"South Dakota","US-SD",63
"Tennessee","US-TN",52
"Texas","US-TX",50
"Utah","US-UT",53
"Vermont","US-VT",74
"Virginia","US-VA",58
"Washington","US-WA",58
"West Virginia","US-WV",64
"Wisconsin","US-WI",59
"Wyoming","US-WY",68
