"","geoCode","/m/012gx2"
"Alabama","US-AL",34
"Alaska","US-AK",38
"Arizona","US-AZ",39
"Arkansas","US-AR",32
"California","US-CA",31
"Colorado","US-CO",34
"Connecticut","US-CT",37
"Delaware","US-DE",50
"District of Columbia","US-DC",65
"Florida","US-FL",36
"Georgia","US-GA",29
"Hawaii","US-HI",100
"Idaho","US-ID",43
"Illinois","US-IL",30
"Indiana","US-IN",33
"Iowa","US-IA",35
"Kansas","US-KS",36
"Kentucky","US-KY",34
"Louisiana","US-LA",28
"Maine","US-ME",39
"Maryland","US-MD",34
"Massachusetts","US-MA",36
"Michigan","US-MI",31
"Minnesota","US-MN",35
"Mississippi","US-MS",29
"Missouri","US-MO",35
"Montana","US-MT",36
"Nebraska","US-NE",35
"Nevada","US-NV",55
"New Hampshire","US-NH",45
"New Jersey","US-NJ",35
"New Mexico","US-NM",32
"New York","US-NY",28
"North Carolina","US-NC",30
"North Dakota","US-ND",32
"Ohio","US-OH",32
"Oklahoma","US-OK",33
"Oregon","US-OR",35
"Pennsylvania","US-PA",34
"Rhode Island","US-RI",42
"South Carolina","US-SC",36
"South Dakota","US-SD",31
"Tennessee","US-TN",35
"Texas","US-TX",27
"Utah","US-UT",33
"Vermont","US-VT",37
"Virginia","US-VA",31
"Washington","US-WA",32
"West Virginia","US-WV",42
"Wisconsin","US-WI",41
"Wyoming","US-WY",37
