"","geoCode","/m/012gx2"
"Alabama","US-AL",32
"Alaska","US-AK",32
"Arizona","US-AZ",43
"Arkansas","US-AR",37
"California","US-CA",39
"Colorado","US-CO",41
"Connecticut","US-CT",48
"Delaware","US-DE",66
"District of Columbia","US-DC",100
"Florida","US-FL",44
"Georgia","US-GA",34
"Hawaii","US-HI",32
"Idaho","US-ID",41
"Illinois","US-IL",41
"Indiana","US-IN",36
"Iowa","US-IA",38
"Kansas","US-KS",36
"Kentucky","US-KY",39
"Louisiana","US-LA",29
"Maine","US-ME",48
"Maryland","US-MD",42
"Massachusetts","US-MA",44
"Michigan","US-MI",47
"Minnesota","US-MN",42
"Mississippi","US-MS",25
"Missouri","US-MO",37
"Montana","US-MT",41
"Nebraska","US-NE",37
"Nevada","US-NV",40
"New Hampshire","US-NH",54
"New Jersey","US-NJ",46
"New Mexico","US-NM",40
"New York","US-NY",40
"North Carolina","US-NC",37
"North Dakota","US-ND",32
"Ohio","US-OH",42
"Oklahoma","US-OK",36
"Oregon","US-OR",50
"Pennsylvania","US-PA",56
"Rhode Island","US-RI",44
"South Carolina","US-SC",34
"South Dakota","US-SD",39
"Tennessee","US-TN",36
"Texas","US-TX",34
"Utah","US-UT",33
"Vermont","US-VT",50
"Virginia","US-VA",41
"Washington","US-WA",41
"West Virginia","US-WV",45
"Wisconsin","US-WI",45
"Wyoming","US-WY",35
