"","geoCode","/m/012gx2"
"Alabama","US-AL",38
"Alaska","US-AK",42
"Arizona","US-AZ",45
"Arkansas","US-AR",37
"California","US-CA",43
"Colorado","US-CO",43
"Connecticut","US-CT",52
"Delaware","US-DE",69
"District of Columbia","US-DC",100
"Florida","US-FL",44
"Georgia","US-GA",39
"Hawaii","US-HI",36
"Idaho","US-ID",44
"Illinois","US-IL",48
"Indiana","US-IN",40
"Iowa","US-IA",41
"Kansas","US-KS",41
"Kentucky","US-KY",39
"Louisiana","US-LA",41
"Maine","US-ME",48
"Maryland","US-MD",52
"Massachusetts","US-MA",46
"Michigan","US-MI",45
"Minnesota","US-MN",47
"Mississippi","US-MS",34
"Missouri","US-MO",46
"Montana","US-MT",47
"Nebraska","US-NE",45
"Nevada","US-NV",42
"New Hampshire","US-NH",55
"New Jersey","US-NJ",50
"New Mexico","US-NM",43
"New York","US-NY",49
"North Carolina","US-NC",38
"North Dakota","US-ND",45
"Ohio","US-OH",42
"Oklahoma","US-OK",37
"Oregon","US-OR",55
"Pennsylvania","US-PA",60
"Rhode Island","US-RI",52
"South Carolina","US-SC",44
"South Dakota","US-SD",37
"Tennessee","US-TN",42
"Texas","US-TX",33
"Utah","US-UT",32
"Vermont","US-VT",56
"Virginia","US-VA",50
"Washington","US-WA",46
"West Virginia","US-WV",43
"Wisconsin","US-WI",45
"Wyoming","US-WY",41
