"","geoCode","/m/012gx2"
"Alabama","US-AL",21
"Alaska","US-AK",35
"Arizona","US-AZ",29
"Arkansas","US-AR",28
"California","US-CA",27
"Colorado","US-CO",33
"Connecticut","US-CT",34
"Delaware","US-DE",47
"District of Columbia","US-DC",100
"Florida","US-FL",27
"Georgia","US-GA",23
"Hawaii","US-HI",25
"Idaho","US-ID",35
"Illinois","US-IL",31
"Indiana","US-IN",31
"Iowa","US-IA",36
"Kansas","US-KS",27
"Kentucky","US-KY",28
"Louisiana","US-LA",21
"Maine","US-ME",45
"Maryland","US-MD",38
"Massachusetts","US-MA",40
"Michigan","US-MI",30
"Minnesota","US-MN",32
"Mississippi","US-MS",23
"Missouri","US-MO",27
"Montana","US-MT",38
"Nebraska","US-NE",27
"Nevada","US-NV",29
"New Hampshire","US-NH",59
"New Jersey","US-NJ",38
"New Mexico","US-NM",27
"New York","US-NY",25
"North Carolina","US-NC",28
"North Dakota","US-ND",37
"Ohio","US-OH",32
"Oklahoma","US-OK",27
"Oregon","US-OR",34
"Pennsylvania","US-PA",48
"Rhode Island","US-RI",40
"South Carolina","US-SC",35
"South Dakota","US-SD",30
"Tennessee","US-TN",27
"Texas","US-TX",21
"Utah","US-UT",26
"Vermont","US-VT",35
"Virginia","US-VA",34
"Washington","US-WA",32
"West Virginia","US-WV",35
"Wisconsin","US-WI",34
"Wyoming","US-WY",31
