"","geoCode","/m/012gx2"
"Alabama","US-AL",41
"Alaska","US-AK",50
"Arizona","US-AZ",42
"Arkansas","US-AR",40
"California","US-CA",37
"Colorado","US-CO",45
"Connecticut","US-CT",43
"Delaware","US-DE",71
"District of Columbia","US-DC",100
"Florida","US-FL",45
"Georgia","US-GA",34
"Hawaii","US-HI",37
"Idaho","US-ID",59
"Illinois","US-IL",38
"Indiana","US-IN",39
"Iowa","US-IA",46
"Kansas","US-KS",40
"Kentucky","US-KY",41
"Louisiana","US-LA",35
"Maine","US-ME",51
"Maryland","US-MD",45
"Massachusetts","US-MA",43
"Michigan","US-MI",59
"Minnesota","US-MN",48
"Mississippi","US-MS",34
"Missouri","US-MO",42
"Montana","US-MT",56
"Nebraska","US-NE",49
"Nevada","US-NV",43
"New Hampshire","US-NH",55
"New Jersey","US-NJ",41
"New Mexico","US-NM",45
"New York","US-NY",31
"North Carolina","US-NC",38
"North Dakota","US-ND",56
"Ohio","US-OH",46
"Oklahoma","US-OK",44
"Oregon","US-OR",43
"Pennsylvania","US-PA",43
"Rhode Island","US-RI",46
"South Carolina","US-SC",35
"South Dakota","US-SD",47
"Tennessee","US-TN",40
"Texas","US-TX",35
"Utah","US-UT",43
"Vermont","US-VT",38
"Virginia","US-VA",43
"Washington","US-WA",41
"West Virginia","US-WV",44
"Wisconsin","US-WI",60
"Wyoming","US-WY",47
