"","geoCode","/m/012gx2"
"Alabama","US-AL",36
"Alaska","US-AK",39
"Arizona","US-AZ",38
"Arkansas","US-AR",37
"California","US-CA",32
"Colorado","US-CO",34
"Connecticut","US-CT",42
"Delaware","US-DE",63
"District of Columbia","US-DC",100
"Florida","US-FL",40
"Georgia","US-GA",33
"Hawaii","US-HI",32
"Idaho","US-ID",42
"Illinois","US-IL",33
"Indiana","US-IN",40
"Iowa","US-IA",38
"Kansas","US-KS",38
"Kentucky","US-KY",41
"Louisiana","US-LA",30
"Maine","US-ME",45
"Maryland","US-MD",42
"Massachusetts","US-MA",39
"Michigan","US-MI",36
"Minnesota","US-MN",39
"Mississippi","US-MS",33
"Missouri","US-MO",39
"Montana","US-MT",39
"Nebraska","US-NE",34
"Nevada","US-NV",35
"New Hampshire","US-NH",41
"New Jersey","US-NJ",37
"New Mexico","US-NM",41
"New York","US-NY",33
"North Carolina","US-NC",33
"North Dakota","US-ND",38
"Ohio","US-OH",36
"Oklahoma","US-OK",38
"Oregon","US-OR",36
"Pennsylvania","US-PA",40
"Rhode Island","US-RI",47
"South Carolina","US-SC",36
"South Dakota","US-SD",38
"Tennessee","US-TN",37
"Texas","US-TX",34
"Utah","US-UT",35
"Vermont","US-VT",40
"Virginia","US-VA",38
"Washington","US-WA",35
"West Virginia","US-WV",46
"Wisconsin","US-WI",41
"Wyoming","US-WY",45
