"","geoCode","/m/012gx2"
"Alabama","US-AL",27
"Alaska","US-AK",55
"Arizona","US-AZ",34
"Arkansas","US-AR",30
"California","US-CA",33
"Colorado","US-CO",43
"Connecticut","US-CT",37
"Delaware","US-DE",58
"District of Columbia","US-DC",100
"Florida","US-FL",33
"Georgia","US-GA",28
"Hawaii","US-HI",34
"Idaho","US-ID",36
"Illinois","US-IL",35
"Indiana","US-IN",36
"Iowa","US-IA",81
"Kansas","US-KS",32
"Kentucky","US-KY",36
"Louisiana","US-LA",25
"Maine","US-ME",48
"Maryland","US-MD",45
"Massachusetts","US-MA",48
"Michigan","US-MI",36
"Minnesota","US-MN",44
"Mississippi","US-MS",28
"Missouri","US-MO",36
"Montana","US-MT",38
"Nebraska","US-NE",28
"Nevada","US-NV",30
"New Hampshire","US-NH",86
"New Jersey","US-NJ",35
"New Mexico","US-NM",31
"New York","US-NY",41
"North Carolina","US-NC",36
"North Dakota","US-ND",40
"Ohio","US-OH",36
"Oklahoma","US-OK",31
"Oregon","US-OR",44
"Pennsylvania","US-PA",41
"Rhode Island","US-RI",39
"South Carolina","US-SC",35
"South Dakota","US-SD",34
"Tennessee","US-TN",30
"Texas","US-TX",25
"Utah","US-UT",37
"Vermont","US-VT",53
"Virginia","US-VA",43
"Washington","US-WA",44
"West Virginia","US-WV",43
"Wisconsin","US-WI",33
"Wyoming","US-WY",0
