"","geoCode","/m/012gx2"
"Alabama","US-AL",28
"Alaska","US-AK",0
"Arizona","US-AZ",29
"Arkansas","US-AR",35
"California","US-CA",31
"Colorado","US-CO",38
"Connecticut","US-CT",41
"Delaware","US-DE",57
"District of Columbia","US-DC",100
"Florida","US-FL",30
"Georgia","US-GA",29
"Hawaii","US-HI",11
"Idaho","US-ID",35
"Illinois","US-IL",38
"Indiana","US-IN",35
"Iowa","US-IA",77
"Kansas","US-KS",28
"Kentucky","US-KY",25
"Louisiana","US-LA",19
"Maine","US-ME",43
"Maryland","US-MD",40
"Massachusetts","US-MA",49
"Michigan","US-MI",31
"Minnesota","US-MN",38
"Mississippi","US-MS",20
"Missouri","US-MO",30
"Montana","US-MT",16
"Nebraska","US-NE",46
"Nevada","US-NV",33
"New Hampshire","US-NH",66
"New Jersey","US-NJ",36
"New Mexico","US-NM",32
"New York","US-NY",37
"North Carolina","US-NC",28
"North Dakota","US-ND",34
"Ohio","US-OH",29
"Oklahoma","US-OK",24
"Oregon","US-OR",43
"Pennsylvania","US-PA",36
"Rhode Island","US-RI",43
"South Carolina","US-SC",33
"South Dakota","US-SD",24
"Tennessee","US-TN",25
"Texas","US-TX",24
"Utah","US-UT",29
"Vermont","US-VT",40
"Virginia","US-VA",41
"Washington","US-WA",36
"West Virginia","US-WV",21
"Wisconsin","US-WI",36
"Wyoming","US-WY",35
