"","geoCode","/m/012gx2"
"Alabama","US-AL",27
"Alaska","US-AK",29
"Arizona","US-AZ",35
"Arkansas","US-AR",30
"California","US-CA",38
"Colorado","US-CO",43
"Connecticut","US-CT",45
"Delaware","US-DE",58
"District of Columbia","US-DC",100
"Florida","US-FL",33
"Georgia","US-GA",30
"Hawaii","US-HI",32
"Idaho","US-ID",27
"Illinois","US-IL",39
"Indiana","US-IN",34
"Iowa","US-IA",42
"Kansas","US-KS",35
"Kentucky","US-KY",32
"Louisiana","US-LA",28
"Maine","US-ME",55
"Maryland","US-MD",47
"Massachusetts","US-MA",50
"Michigan","US-MI",45
"Minnesota","US-MN",45
"Mississippi","US-MS",21
"Missouri","US-MO",36
"Montana","US-MT",39
"Nebraska","US-NE",34
"Nevada","US-NV",38
"New Hampshire","US-NH",48
"New Jersey","US-NJ",40
"New Mexico","US-NM",35
"New York","US-NY",36
"North Carolina","US-NC",34
"North Dakota","US-ND",27
"Ohio","US-OH",36
"Oklahoma","US-OK",26
"Oregon","US-OR",51
"Pennsylvania","US-PA",41
"Rhode Island","US-RI",52
"South Carolina","US-SC",32
"South Dakota","US-SD",46
"Tennessee","US-TN",32
"Texas","US-TX",24
"Utah","US-UT",29
"Vermont","US-VT",63
"Virginia","US-VA",44
"Washington","US-WA",46
"West Virginia","US-WV",35
"Wisconsin","US-WI",47
"Wyoming","US-WY",30
