"","geoCode","/m/012gx2"
"Alabama","US-AL",42
"Alaska","US-AK",49
"Arizona","US-AZ",45
"Arkansas","US-AR",40
"California","US-CA",39
"Colorado","US-CO",40
"Connecticut","US-CT",46
"Delaware","US-DE",74
"District of Columbia","US-DC",100
"Florida","US-FL",45
"Georgia","US-GA",38
"Hawaii","US-HI",42
"Idaho","US-ID",51
"Illinois","US-IL",39
"Indiana","US-IN",44
"Iowa","US-IA",43
"Kansas","US-KS",49
"Kentucky","US-KY",44
"Louisiana","US-LA",36
"Maine","US-ME",52
"Maryland","US-MD",45
"Massachusetts","US-MA",45
"Michigan","US-MI",44
"Minnesota","US-MN",46
"Mississippi","US-MS",37
"Missouri","US-MO",46
"Montana","US-MT",46
"Nebraska","US-NE",47
"Nevada","US-NV",40
"New Hampshire","US-NH",55
"New Jersey","US-NJ",43
"New Mexico","US-NM",39
"New York","US-NY",40
"North Carolina","US-NC",40
"North Dakota","US-ND",43
"Ohio","US-OH",40
"Oklahoma","US-OK",46
"Oregon","US-OR",44
"Pennsylvania","US-PA",48
"Rhode Island","US-RI",52
"South Carolina","US-SC",43
"South Dakota","US-SD",50
"Tennessee","US-TN",43
"Texas","US-TX",38
"Utah","US-UT",38
"Vermont","US-VT",54
"Virginia","US-VA",39
"Washington","US-WA",42
"West Virginia","US-WV",51
"Wisconsin","US-WI",48
"Wyoming","US-WY",50
