"","geoCode","/m/012gx2"
"Alabama","US-AL",26
"Alaska","US-AK",29
"Arizona","US-AZ",29
"Arkansas","US-AR",37
"California","US-CA",26
"Colorado","US-CO",31
"Connecticut","US-CT",30
"Delaware","US-DE",47
"District of Columbia","US-DC",86
"Florida","US-FL",31
"Georgia","US-GA",26
"Hawaii","US-HI",23
"Idaho","US-ID",32
"Illinois","US-IL",28
"Indiana","US-IN",29
"Iowa","US-IA",33
"Kansas","US-KS",28
"Kentucky","US-KY",28
"Louisiana","US-LA",24
"Maine","US-ME",48
"Maryland","US-MD",32
"Massachusetts","US-MA",38
"Michigan","US-MI",30
"Minnesota","US-MN",40
"Mississippi","US-MS",21
"Missouri","US-MO",30
"Montana","US-MT",37
"Nebraska","US-NE",33
"Nevada","US-NV",29
"New Hampshire","US-NH",100
"New Jersey","US-NJ",31
"New Mexico","US-NM",28
"New York","US-NY",26
"North Carolina","US-NC",30
"North Dakota","US-ND",32
"Ohio","US-OH",28
"Oklahoma","US-OK",29
"Oregon","US-OR",31
"Pennsylvania","US-PA",31
"Rhode Island","US-RI",37
"South Carolina","US-SC",38
"South Dakota","US-SD",27
"Tennessee","US-TN",30
"Texas","US-TX",27
"Utah","US-UT",29
"Vermont","US-VT",41
"Virginia","US-VA",33
"Washington","US-WA",30
"West Virginia","US-WV",33
"Wisconsin","US-WI",38
"Wyoming","US-WY",35
