"","geoCode","/m/012gx2"
"Alabama","US-AL",38
"Alaska","US-AK",45
"Arizona","US-AZ",40
"Arkansas","US-AR",41
"California","US-CA",46
"Colorado","US-CO",38
"Connecticut","US-CT",46
"Delaware","US-DE",82
"District of Columbia","US-DC",100
"Florida","US-FL",43
"Georgia","US-GA",39
"Hawaii","US-HI",35
"Idaho","US-ID",46
"Illinois","US-IL",36
"Indiana","US-IN",43
"Iowa","US-IA",41
"Kansas","US-KS",42
"Kentucky","US-KY",41
"Louisiana","US-LA",31
"Maine","US-ME",45
"Maryland","US-MD",46
"Massachusetts","US-MA",47
"Michigan","US-MI",43
"Minnesota","US-MN",38
"Mississippi","US-MS",36
"Missouri","US-MO",45
"Montana","US-MT",46
"Nebraska","US-NE",40
"Nevada","US-NV",37
"New Hampshire","US-NH",52
"New Jersey","US-NJ",42
"New Mexico","US-NM",41
"New York","US-NY",36
"North Carolina","US-NC",38
"North Dakota","US-ND",42
"Ohio","US-OH",41
"Oklahoma","US-OK",43
"Oregon","US-OR",44
"Pennsylvania","US-PA",43
"Rhode Island","US-RI",39
"South Carolina","US-SC",42
"South Dakota","US-SD",41
"Tennessee","US-TN",41
"Texas","US-TX",31
"Utah","US-UT",38
"Vermont","US-VT",52
"Virginia","US-VA",43
"Washington","US-WA",41
"West Virginia","US-WV",43
"Wisconsin","US-WI",47
"Wyoming","US-WY",49
