"","geoCode","/m/012gx2"
"Alabama","US-AL",64
"Alaska","US-AK",70
"Arizona","US-AZ",61
"Arkansas","US-AR",66
"California","US-CA",55
"Colorado","US-CO",62
"Connecticut","US-CT",67
"Delaware","US-DE",92
"District of Columbia","US-DC",100
"Florida","US-FL",67
"Georgia","US-GA",55
"Hawaii","US-HI",51
"Idaho","US-ID",80
"Illinois","US-IL",64
"Indiana","US-IN",65
"Iowa","US-IA",70
"Kansas","US-KS",67
"Kentucky","US-KY",63
"Louisiana","US-LA",53
"Maine","US-ME",79
"Maryland","US-MD",63
"Massachusetts","US-MA",62
"Michigan","US-MI",67
"Minnesota","US-MN",66
"Mississippi","US-MS",60
"Missouri","US-MO",68
"Montana","US-MT",83
"Nebraska","US-NE",74
"Nevada","US-NV",56
"New Hampshire","US-NH",89
"New Jersey","US-NJ",60
"New Mexico","US-NM",60
"New York","US-NY",51
"North Carolina","US-NC",61
"North Dakota","US-ND",82
"Ohio","US-OH",69
"Oklahoma","US-OK",71
"Oregon","US-OR",64
"Pennsylvania","US-PA",78
"Rhode Island","US-RI",70
"South Carolina","US-SC",65
"South Dakota","US-SD",73
"Tennessee","US-TN",66
"Texas","US-TX",57
"Utah","US-UT",60
"Vermont","US-VT",75
"Virginia","US-VA",67
"Washington","US-WA",62
"West Virginia","US-WV",84
"Wisconsin","US-WI",72
"Wyoming","US-WY",89
