"","geoCode","/m/012gx2"
"Alabama","US-AL",38
"Alaska","US-AK",43
"Arizona","US-AZ",43
"Arkansas","US-AR",42
"California","US-CA",31
"Colorado","US-CO",42
"Connecticut","US-CT",43
"Delaware","US-DE",63
"District of Columbia","US-DC",100
"Florida","US-FL",45
"Georgia","US-GA",34
"Hawaii","US-HI",34
"Idaho","US-ID",49
"Illinois","US-IL",37
"Indiana","US-IN",45
"Iowa","US-IA",72
"Kansas","US-KS",43
"Kentucky","US-KY",42
"Louisiana","US-LA",35
"Maine","US-ME",47
"Maryland","US-MD",42
"Massachusetts","US-MA",40
"Michigan","US-MI",43
"Minnesota","US-MN",47
"Mississippi","US-MS",36
"Missouri","US-MO",44
"Montana","US-MT",58
"Nebraska","US-NE",49
"Nevada","US-NV",42
"New Hampshire","US-NH",54
"New Jersey","US-NJ",39
"New Mexico","US-NM",44
"New York","US-NY",38
"North Carolina","US-NC",45
"North Dakota","US-ND",55
"Ohio","US-OH",45
"Oklahoma","US-OK",46
"Oregon","US-OR",45
"Pennsylvania","US-PA",45
"Rhode Island","US-RI",41
"South Carolina","US-SC",46
"South Dakota","US-SD",61
"Tennessee","US-TN",40
"Texas","US-TX",38
"Utah","US-UT",41
"Vermont","US-VT",47
"Virginia","US-VA",42
"Washington","US-WA",38
"West Virginia","US-WV",52
"Wisconsin","US-WI",45
"Wyoming","US-WY",58
