"","geoCode","/m/012gx2"
"Alabama","US-AL",57
"Alaska","US-AK",70
"Arizona","US-AZ",55
"Arkansas","US-AR",63
"California","US-CA",42
"Colorado","US-CO",52
"Connecticut","US-CT",50
"Delaware","US-DE",67
"District of Columbia","US-DC",76
"Florida","US-FL",48
"Georgia","US-GA",51
"Hawaii","US-HI",45
"Idaho","US-ID",100
"Illinois","US-IL",54
"Indiana","US-IN",59
"Iowa","US-IA",74
"Kansas","US-KS",62
"Kentucky","US-KY",58
"Louisiana","US-LA",45
"Maine","US-ME",75
"Maryland","US-MD",50
"Massachusetts","US-MA",50
"Michigan","US-MI",65
"Minnesota","US-MN",66
"Mississippi","US-MS",46
"Missouri","US-MO",60
"Montana","US-MT",76
"Nebraska","US-NE",68
"Nevada","US-NV",54
"New Hampshire","US-NH",75
"New Jersey","US-NJ",66
"New Mexico","US-NM",53
"New York","US-NY",46
"North Carolina","US-NC",52
"North Dakota","US-ND",75
"Ohio","US-OH",78
"Oklahoma","US-OK",63
"Oregon","US-OR",57
"Pennsylvania","US-PA",70
"Rhode Island","US-RI",49
"South Carolina","US-SC",52
"South Dakota","US-SD",71
"Tennessee","US-TN",57
"Texas","US-TX",47
"Utah","US-UT",63
"Vermont","US-VT",57
"Virginia","US-VA",61
"Washington","US-WA",57
"West Virginia","US-WV",71
"Wisconsin","US-WI",69
"Wyoming","US-WY",88
