"","geoCode","/m/012gx2"
"Alabama","US-AL",51
"Alaska","US-AK",53
"Arizona","US-AZ",50
"Arkansas","US-AR",51
"California","US-CA",50
"Colorado","US-CO",52
"Connecticut","US-CT",53
"Delaware","US-DE",65
"District of Columbia","US-DC",100
"Florida","US-FL",57
"Georgia","US-GA",49
"Hawaii","US-HI",47
"Idaho","US-ID",55
"Illinois","US-IL",56
"Indiana","US-IN",48
"Iowa","US-IA",54
"Kansas","US-KS",53
"Kentucky","US-KY",53
"Louisiana","US-LA",45
"Maine","US-ME",59
"Maryland","US-MD",53
"Massachusetts","US-MA",55
"Michigan","US-MI",60
"Minnesota","US-MN",54
"Mississippi","US-MS",45
"Missouri","US-MO",50
"Montana","US-MT",61
"Nebraska","US-NE",59
"Nevada","US-NV",50
"New Hampshire","US-NH",58
"New Jersey","US-NJ",56
"New Mexico","US-NM",52
"New York","US-NY",52
"North Carolina","US-NC",54
"North Dakota","US-ND",55
"Ohio","US-OH",57
"Oklahoma","US-OK",49
"Oregon","US-OR",48
"Pennsylvania","US-PA",62
"Rhode Island","US-RI",57
"South Carolina","US-SC",51
"South Dakota","US-SD",55
"Tennessee","US-TN",51
"Texas","US-TX",48
"Utah","US-UT",50
"Vermont","US-VT",53
"Virginia","US-VA",59
"Washington","US-WA",53
"West Virginia","US-WV",60
"Wisconsin","US-WI",50
"Wyoming","US-WY",57
