"","geoCode","/m/012gx2"
"Alabama","US-AL",29
"Alaska","US-AK",33
"Arizona","US-AZ",32
"Arkansas","US-AR",33
"California","US-CA",27
"Colorado","US-CO",33
"Connecticut","US-CT",38
"Delaware","US-DE",50
"District of Columbia","US-DC",100
"Florida","US-FL",34
"Georgia","US-GA",27
"Hawaii","US-HI",29
"Idaho","US-ID",34
"Illinois","US-IL",34
"Indiana","US-IN",33
"Iowa","US-IA",33
"Kansas","US-KS",35
"Kentucky","US-KY",30
"Louisiana","US-LA",26
"Maine","US-ME",42
"Maryland","US-MD",37
"Massachusetts","US-MA",34
"Michigan","US-MI",34
"Minnesota","US-MN",36
"Mississippi","US-MS",25
"Missouri","US-MO",33
"Montana","US-MT",34
"Nebraska","US-NE",34
"Nevada","US-NV",28
"New Hampshire","US-NH",40
"New Jersey","US-NJ",30
"New Mexico","US-NM",30
"New York","US-NY",33
"North Carolina","US-NC",29
"North Dakota","US-ND",40
"Ohio","US-OH",34
"Oklahoma","US-OK",32
"Oregon","US-OR",32
"Pennsylvania","US-PA",38
"Rhode Island","US-RI",39
"South Carolina","US-SC",33
"South Dakota","US-SD",35
"Tennessee","US-TN",33
"Texas","US-TX",24
"Utah","US-UT",29
"Vermont","US-VT",38
"Virginia","US-VA",33
"Washington","US-WA",32
"West Virginia","US-WV",35
"Wisconsin","US-WI",35
"Wyoming","US-WY",34
