"","geoCode","/m/012gx2"
"Alabama","US-AL",52
"Alaska","US-AK",72
"Arizona","US-AZ",54
"Arkansas","US-AR",48
"California","US-CA",43
"Colorado","US-CO",56
"Connecticut","US-CT",51
"Delaware","US-DE",59
"District of Columbia","US-DC",100
"Florida","US-FL",49
"Georgia","US-GA",44
"Hawaii","US-HI",38
"Idaho","US-ID",67
"Illinois","US-IL",48
"Indiana","US-IN",52
"Iowa","US-IA",60
"Kansas","US-KS",58
"Kentucky","US-KY",49
"Louisiana","US-LA",42
"Maine","US-ME",64
"Maryland","US-MD",51
"Massachusetts","US-MA",48
"Michigan","US-MI",50
"Minnesota","US-MN",59
"Mississippi","US-MS",44
"Missouri","US-MO",57
"Montana","US-MT",70
"Nebraska","US-NE",59
"Nevada","US-NV",50
"New Hampshire","US-NH",66
"New Jersey","US-NJ",43
"New Mexico","US-NM",50
"New York","US-NY",42
"North Carolina","US-NC",43
"North Dakota","US-ND",70
"Ohio","US-OH",53
"Oklahoma","US-OK",58
"Oregon","US-OR",56
"Pennsylvania","US-PA",62
"Rhode Island","US-RI",60
"South Carolina","US-SC",44
"South Dakota","US-SD",71
"Tennessee","US-TN",52
"Texas","US-TX",43
"Utah","US-UT",59
"Vermont","US-VT",64
"Virginia","US-VA",49
"Washington","US-WA",50
"West Virginia","US-WV",59
"Wisconsin","US-WI",60
"Wyoming","US-WY",69
