"","geoCode","/m/012gx2"
"Alabama","US-AL",41
"Alaska","US-AK",39
"Arizona","US-AZ",35
"Arkansas","US-AR",36
"California","US-CA",40
"Colorado","US-CO",42
"Connecticut","US-CT",41
"Delaware","US-DE",54
"District of Columbia","US-DC",100
"Florida","US-FL",40
"Georgia","US-GA",40
"Hawaii","US-HI",31
"Idaho","US-ID",39
"Illinois","US-IL",39
"Indiana","US-IN",34
"Iowa","US-IA",39
"Kansas","US-KS",36
"Kentucky","US-KY",34
"Louisiana","US-LA",31
"Maine","US-ME",51
"Maryland","US-MD",43
"Massachusetts","US-MA",53
"Michigan","US-MI",42
"Minnesota","US-MN",42
"Mississippi","US-MS",29
"Missouri","US-MO",38
"Montana","US-MT",44
"Nebraska","US-NE",39
"Nevada","US-NV",32
"New Hampshire","US-NH",55
"New Jersey","US-NJ",46
"New Mexico","US-NM",36
"New York","US-NY",42
"North Carolina","US-NC",41
"North Dakota","US-ND",44
"Ohio","US-OH",45
"Oklahoma","US-OK",41
"Oregon","US-OR",41
"Pennsylvania","US-PA",49
"Rhode Island","US-RI",48
"South Carolina","US-SC",39
"South Dakota","US-SD",39
"Tennessee","US-TN",38
"Texas","US-TX",33
"Utah","US-UT",34
"Vermont","US-VT",49
"Virginia","US-VA",48
"Washington","US-WA",37
"West Virginia","US-WV",39
"Wisconsin","US-WI",42
"Wyoming","US-WY",43
