"","geoCode","/m/012gx2"
"Alabama","US-AL",30
"Alaska","US-AK",31
"Arizona","US-AZ",31
"Arkansas","US-AR",32
"California","US-CA",32
"Colorado","US-CO",35
"Connecticut","US-CT",42
"Delaware","US-DE",57
"District of Columbia","US-DC",91
"Florida","US-FL",30
"Georgia","US-GA",28
"Hawaii","US-HI",23
"Idaho","US-ID",29
"Illinois","US-IL",35
"Indiana","US-IN",30
"Iowa","US-IA",98
"Kansas","US-KS",31
"Kentucky","US-KY",30
"Louisiana","US-LA",24
"Maine","US-ME",40
"Maryland","US-MD",41
"Massachusetts","US-MA",51
"Michigan","US-MI",34
"Minnesota","US-MN",42
"Mississippi","US-MS",24
"Missouri","US-MO",29
"Montana","US-MT",35
"Nebraska","US-NE",44
"Nevada","US-NV",31
"New Hampshire","US-NH",100
"New Jersey","US-NJ",40
"New Mexico","US-NM",34
"New York","US-NY",36
"North Carolina","US-NC",30
"North Dakota","US-ND",28
"Ohio","US-OH",33
"Oklahoma","US-OK",31
"Oregon","US-OR",36
"Pennsylvania","US-PA",39
"Rhode Island","US-RI",32
"South Carolina","US-SC",34
"South Dakota","US-SD",34
"Tennessee","US-TN",32
"Texas","US-TX",24
"Utah","US-UT",26
"Vermont","US-VT",58
"Virginia","US-VA",41
"Washington","US-WA",32
"West Virginia","US-WV",30
"Wisconsin","US-WI",35
"Wyoming","US-WY",26
