"","geoCode","/m/012gx2"
"Alabama","US-AL",34
"Alaska","US-AK",42
"Arizona","US-AZ",37
"Arkansas","US-AR",36
"California","US-CA",27
"Colorado","US-CO",34
"Connecticut","US-CT",39
"Delaware","US-DE",68
"District of Columbia","US-DC",100
"Florida","US-FL",33
"Georgia","US-GA",31
"Hawaii","US-HI",24
"Idaho","US-ID",42
"Illinois","US-IL",34
"Indiana","US-IN",36
"Iowa","US-IA",34
"Kansas","US-KS",38
"Kentucky","US-KY",36
"Louisiana","US-LA",29
"Maine","US-ME",40
"Maryland","US-MD",40
"Massachusetts","US-MA",36
"Michigan","US-MI",35
"Minnesota","US-MN",36
"Mississippi","US-MS",31
"Missouri","US-MO",33
"Montana","US-MT",38
"Nebraska","US-NE",32
"Nevada","US-NV",33
"New Hampshire","US-NH",44
"New Jersey","US-NJ",34
"New Mexico","US-NM",37
"New York","US-NY",27
"North Carolina","US-NC",34
"North Dakota","US-ND",32
"Ohio","US-OH",34
"Oklahoma","US-OK",34
"Oregon","US-OR",34
"Pennsylvania","US-PA",38
"Rhode Island","US-RI",47
"South Carolina","US-SC",34
"South Dakota","US-SD",29
"Tennessee","US-TN",34
"Texas","US-TX",28
"Utah","US-UT",33
"Vermont","US-VT",37
"Virginia","US-VA",35
"Washington","US-WA",34
"West Virginia","US-WV",39
"Wisconsin","US-WI",38
"Wyoming","US-WY",45
