"","geoCode","/m/012gx2"
"Alabama","US-AL",37
"Alaska","US-AK",42
"Arizona","US-AZ",36
"Arkansas","US-AR",36
"California","US-CA",32
"Colorado","US-CO",35
"Connecticut","US-CT",40
"Delaware","US-DE",53
"District of Columbia","US-DC",100
"Florida","US-FL",37
"Georgia","US-GA",29
"Hawaii","US-HI",34
"Idaho","US-ID",45
"Illinois","US-IL",35
"Indiana","US-IN",37
"Iowa","US-IA",39
"Kansas","US-KS",37
"Kentucky","US-KY",39
"Louisiana","US-LA",30
"Maine","US-ME",43
"Maryland","US-MD",35
"Massachusetts","US-MA",36
"Michigan","US-MI",36
"Minnesota","US-MN",40
"Mississippi","US-MS",34
"Missouri","US-MO",37
"Montana","US-MT",47
"Nebraska","US-NE",39
"Nevada","US-NV",38
"New Hampshire","US-NH",43
"New Jersey","US-NJ",33
"New Mexico","US-NM",39
"New York","US-NY",33
"North Carolina","US-NC",33
"North Dakota","US-ND",45
"Ohio","US-OH",36
"Oklahoma","US-OK",37
"Oregon","US-OR",39
"Pennsylvania","US-PA",43
"Rhode Island","US-RI",43
"South Carolina","US-SC",35
"South Dakota","US-SD",47
"Tennessee","US-TN",36
"Texas","US-TX",32
"Utah","US-UT",36
"Vermont","US-VT",41
"Virginia","US-VA",40
"Washington","US-WA",35
"West Virginia","US-WV",40
"Wisconsin","US-WI",39
"Wyoming","US-WY",49
