"","geoCode","/m/012gx2"
"Alabama","US-AL",64
"Alaska","US-AK",69
"Arizona","US-AZ",99
"Arkansas","US-AR",65
"California","US-CA",74
"Colorado","US-CO",76
"Connecticut","US-CT",89
"Delaware","US-DE",100
"District of Columbia","US-DC",96
"Florida","US-FL",84
"Georgia","US-GA",66
"Hawaii","US-HI",62
"Idaho","US-ID",80
"Illinois","US-IL",78
"Indiana","US-IN",75
"Iowa","US-IA",71
"Kansas","US-KS",69
"Kentucky","US-KY",68
"Louisiana","US-LA",60
"Maine","US-ME",89
"Maryland","US-MD",75
"Massachusetts","US-MA",95
"Michigan","US-MI",84
"Minnesota","US-MN",84
"Mississippi","US-MS",50
"Missouri","US-MO",75
"Montana","US-MT",78
"Nebraska","US-NE",73
"Nevada","US-NV",69
"New Hampshire","US-NH",89
"New Jersey","US-NJ",81
"New Mexico","US-NM",69
"New York","US-NY",77
"North Carolina","US-NC",85
"North Dakota","US-ND",78
"Ohio","US-OH",85
"Oklahoma","US-OK",68
"Oregon","US-OR",84
"Pennsylvania","US-PA",98
"Rhode Island","US-RI",81
"South Carolina","US-SC",74
"South Dakota","US-SD",73
"Tennessee","US-TN",77
"Texas","US-TX",72
"Utah","US-UT",76
"Vermont","US-VT",83
"Virginia","US-VA",78
"Washington","US-WA",87
"West Virginia","US-WV",80
"Wisconsin","US-WI",88
"Wyoming","US-WY",80
