"","geoCode","/m/012gx2"
"Alabama","US-AL",37
"Alaska","US-AK",45
"Arizona","US-AZ",43
"Arkansas","US-AR",43
"California","US-CA",42
"Colorado","US-CO",43
"Connecticut","US-CT",45
"Delaware","US-DE",63
"District of Columbia","US-DC",100
"Florida","US-FL",41
"Georgia","US-GA",38
"Hawaii","US-HI",41
"Idaho","US-ID",47
"Illinois","US-IL",41
"Indiana","US-IN",40
"Iowa","US-IA",43
"Kansas","US-KS",45
"Kentucky","US-KY",39
"Louisiana","US-LA",34
"Maine","US-ME",53
"Maryland","US-MD",46
"Massachusetts","US-MA",47
"Michigan","US-MI",41
"Minnesota","US-MN",45
"Mississippi","US-MS",36
"Missouri","US-MO",41
"Montana","US-MT",47
"Nebraska","US-NE",43
"Nevada","US-NV",36
"New Hampshire","US-NH",52
"New Jersey","US-NJ",40
"New Mexico","US-NM",40
"New York","US-NY",44
"North Carolina","US-NC",34
"North Dakota","US-ND",48
"Ohio","US-OH",39
"Oklahoma","US-OK",42
"Oregon","US-OR",49
"Pennsylvania","US-PA",50
"Rhode Island","US-RI",50
"South Carolina","US-SC",40
"South Dakota","US-SD",44
"Tennessee","US-TN",37
"Texas","US-TX",35
"Utah","US-UT",36
"Vermont","US-VT",51
"Virginia","US-VA",46
"Washington","US-WA",44
"West Virginia","US-WV",44
"Wisconsin","US-WI",43
"Wyoming","US-WY",43
