"","geoCode","/m/012gx2"
"Alabama","US-AL",37
"Alaska","US-AK",48
"Arizona","US-AZ",46
"Arkansas","US-AR",37
"California","US-CA",46
"Colorado","US-CO",48
"Connecticut","US-CT",53
"Delaware","US-DE",70
"District of Columbia","US-DC",100
"Florida","US-FL",46
"Georgia","US-GA",38
"Hawaii","US-HI",36
"Idaho","US-ID",41
"Illinois","US-IL",40
"Indiana","US-IN",38
"Iowa","US-IA",40
"Kansas","US-KS",41
"Kentucky","US-KY",36
"Louisiana","US-LA",35
"Maine","US-ME",63
"Maryland","US-MD",51
"Massachusetts","US-MA",55
"Michigan","US-MI",51
"Minnesota","US-MN",50
"Mississippi","US-MS",37
"Missouri","US-MO",42
"Montana","US-MT",53
"Nebraska","US-NE",40
"Nevada","US-NV",43
"New Hampshire","US-NH",60
"New Jersey","US-NJ",47
"New Mexico","US-NM",41
"New York","US-NY",52
"North Carolina","US-NC",39
"North Dakota","US-ND",42
"Ohio","US-OH",43
"Oklahoma","US-OK",37
"Oregon","US-OR",57
"Pennsylvania","US-PA",55
"Rhode Island","US-RI",53
"South Carolina","US-SC",37
"South Dakota","US-SD",30
"Tennessee","US-TN",41
"Texas","US-TX",33
"Utah","US-UT",41
"Vermont","US-VT",55
"Virginia","US-VA",50
"Washington","US-WA",49
"West Virginia","US-WV",48
"Wisconsin","US-WI",48
"Wyoming","US-WY",52
