"","geoCode","/m/012gx2"
"Alabama","US-AL",60
"Alaska","US-AK",68
"Arizona","US-AZ",54
"Arkansas","US-AR",52
"California","US-CA",47
"Colorado","US-CO",51
"Connecticut","US-CT",57
"Delaware","US-DE",82
"District of Columbia","US-DC",100
"Florida","US-FL",58
"Georgia","US-GA",51
"Hawaii","US-HI",38
"Idaho","US-ID",57
"Illinois","US-IL",54
"Indiana","US-IN",54
"Iowa","US-IA",59
"Kansas","US-KS",52
"Kentucky","US-KY",54
"Louisiana","US-LA",51
"Maine","US-ME",61
"Maryland","US-MD",58
"Massachusetts","US-MA",51
"Michigan","US-MI",57
"Minnesota","US-MN",59
"Mississippi","US-MS",54
"Missouri","US-MO",58
"Montana","US-MT",60
"Nebraska","US-NE",58
"Nevada","US-NV",60
"New Hampshire","US-NH",59
"New Jersey","US-NJ",55
"New Mexico","US-NM",48
"New York","US-NY",51
"North Carolina","US-NC",55
"North Dakota","US-ND",63
"Ohio","US-OH",68
"Oklahoma","US-OK",60
"Oregon","US-OR",51
"Pennsylvania","US-PA",67
"Rhode Island","US-RI",56
"South Carolina","US-SC",62
"South Dakota","US-SD",67
"Tennessee","US-TN",57
"Texas","US-TX",47
"Utah","US-UT",45
"Vermont","US-VT",53
"Virginia","US-VA",61
"Washington","US-WA",48
"West Virginia","US-WV",63
"Wisconsin","US-WI",59
"Wyoming","US-WY",64
