"","geoCode","/m/012gx2"
"Alabama","US-AL",42
"Alaska","US-AK",52
"Arizona","US-AZ",49
"Arkansas","US-AR",47
"California","US-CA",39
"Colorado","US-CO",47
"Connecticut","US-CT",45
"Delaware","US-DE",75
"District of Columbia","US-DC",100
"Florida","US-FL",46
"Georgia","US-GA",39
"Hawaii","US-HI",41
"Idaho","US-ID",59
"Illinois","US-IL",39
"Indiana","US-IN",45
"Iowa","US-IA",52
"Kansas","US-KS",46
"Kentucky","US-KY",46
"Louisiana","US-LA",39
"Maine","US-ME",54
"Maryland","US-MD",50
"Massachusetts","US-MA",45
"Michigan","US-MI",46
"Minnesota","US-MN",51
"Mississippi","US-MS",36
"Missouri","US-MO",50
"Montana","US-MT",51
"Nebraska","US-NE",56
"Nevada","US-NV",46
"New Hampshire","US-NH",59
"New Jersey","US-NJ",45
"New Mexico","US-NM",52
"New York","US-NY",38
"North Carolina","US-NC",42
"North Dakota","US-ND",42
"Ohio","US-OH",53
"Oklahoma","US-OK",53
"Oregon","US-OR",46
"Pennsylvania","US-PA",59
"Rhode Island","US-RI",44
"South Carolina","US-SC",44
"South Dakota","US-SD",49
"Tennessee","US-TN",47
"Texas","US-TX",39
"Utah","US-UT",50
"Vermont","US-VT",55
"Virginia","US-VA",42
"Washington","US-WA",45
"West Virginia","US-WV",51
"Wisconsin","US-WI",65
"Wyoming","US-WY",62
