"","geoCode","/m/012gx2"
"Alabama","US-AL",33
"Alaska","US-AK",53
"Arizona","US-AZ",37
"Arkansas","US-AR",36
"California","US-CA",36
"Colorado","US-CO",46
"Connecticut","US-CT",40
"Delaware","US-DE",66
"District of Columbia","US-DC",100
"Florida","US-FL",38
"Georgia","US-GA",32
"Hawaii","US-HI",28
"Idaho","US-ID",48
"Illinois","US-IL",38
"Indiana","US-IN",36
"Iowa","US-IA",38
"Kansas","US-KS",39
"Kentucky","US-KY",35
"Louisiana","US-LA",31
"Maine","US-ME",43
"Maryland","US-MD",42
"Massachusetts","US-MA",44
"Michigan","US-MI",40
"Minnesota","US-MN",44
"Mississippi","US-MS",26
"Missouri","US-MO",38
"Montana","US-MT",48
"Nebraska","US-NE",37
"Nevada","US-NV",41
"New Hampshire","US-NH",53
"New Jersey","US-NJ",41
"New Mexico","US-NM",37
"New York","US-NY",37
"North Carolina","US-NC",35
"North Dakota","US-ND",36
"Ohio","US-OH",41
"Oklahoma","US-OK",36
"Oregon","US-OR",44
"Pennsylvania","US-PA",44
"Rhode Island","US-RI",44
"South Carolina","US-SC",40
"South Dakota","US-SD",42
"Tennessee","US-TN",38
"Texas","US-TX",33
"Utah","US-UT",41
"Vermont","US-VT",49
"Virginia","US-VA",41
"Washington","US-WA",42
"West Virginia","US-WV",46
"Wisconsin","US-WI",46
"Wyoming","US-WY",48
