"","geoCode","/m/012gx2"
"Alabama","US-AL",22
"Alaska","US-AK",30
"Arizona","US-AZ",24
"Arkansas","US-AR",18
"California","US-CA",21
"Colorado","US-CO",26
"Connecticut","US-CT",31
"Delaware","US-DE",56
"District of Columbia","US-DC",72
"Florida","US-FL",24
"Georgia","US-GA",20
"Hawaii","US-HI",17
"Idaho","US-ID",25
"Illinois","US-IL",27
"Indiana","US-IN",22
"Iowa","US-IA",100
"Kansas","US-KS",21
"Kentucky","US-KY",22
"Louisiana","US-LA",23
"Maine","US-ME",37
"Maryland","US-MD",28
"Massachusetts","US-MA",34
"Michigan","US-MI",26
"Minnesota","US-MN",30
"Mississippi","US-MS",23
"Missouri","US-MO",31
"Montana","US-MT",21
"Nebraska","US-NE",42
"Nevada","US-NV",23
"New Hampshire","US-NH",54
"New Jersey","US-NJ",26
"New Mexico","US-NM",29
"New York","US-NY",27
"North Carolina","US-NC",22
"North Dakota","US-ND",26
"Ohio","US-OH",25
"Oklahoma","US-OK",24
"Oregon","US-OR",34
"Pennsylvania","US-PA",32
"Rhode Island","US-RI",29
"South Carolina","US-SC",25
"South Dakota","US-SD",18
"Tennessee","US-TN",21
"Texas","US-TX",20
"Utah","US-UT",21
"Vermont","US-VT",33
"Virginia","US-VA",30
"Washington","US-WA",27
"West Virginia","US-WV",23
"Wisconsin","US-WI",28
"Wyoming","US-WY",22
