"","geoCode","/m/012gx2"
"Alabama","US-AL",32
"Alaska","US-AK",44
"Arizona","US-AZ",34
"Arkansas","US-AR",34
"California","US-CA",36
"Colorado","US-CO",37
"Connecticut","US-CT",40
"Delaware","US-DE",54
"District of Columbia","US-DC",100
"Florida","US-FL",35
"Georgia","US-GA",40
"Hawaii","US-HI",33
"Idaho","US-ID",40
"Illinois","US-IL",40
"Indiana","US-IN",35
"Iowa","US-IA",42
"Kansas","US-KS",37
"Kentucky","US-KY",35
"Louisiana","US-LA",28
"Maine","US-ME",46
"Maryland","US-MD",38
"Massachusetts","US-MA",44
"Michigan","US-MI",41
"Minnesota","US-MN",39
"Mississippi","US-MS",28
"Missouri","US-MO",35
"Montana","US-MT",42
"Nebraska","US-NE",39
"Nevada","US-NV",35
"New Hampshire","US-NH",43
"New Jersey","US-NJ",38
"New Mexico","US-NM",38
"New York","US-NY",37
"North Carolina","US-NC",32
"North Dakota","US-ND",46
"Ohio","US-OH",38
"Oklahoma","US-OK",35
"Oregon","US-OR",42
"Pennsylvania","US-PA",45
"Rhode Island","US-RI",47
"South Carolina","US-SC",33
"South Dakota","US-SD",39
"Tennessee","US-TN",33
"Texas","US-TX",36
"Utah","US-UT",38
"Vermont","US-VT",46
"Virginia","US-VA",45
"Washington","US-WA",37
"West Virginia","US-WV",34
"Wisconsin","US-WI",37
"Wyoming","US-WY",41
