"","geoCode","/m/012gx2"
"Alabama","US-AL",60
"Alaska","US-AK",84
"Arizona","US-AZ",63
"Arkansas","US-AR",61
"California","US-CA",61
"Colorado","US-CO",58
"Connecticut","US-CT",72
"Delaware","US-DE",88
"District of Columbia","US-DC",100
"Florida","US-FL",74
"Georgia","US-GA",68
"Hawaii","US-HI",54
"Idaho","US-ID",70
"Illinois","US-IL",66
"Indiana","US-IN",59
"Iowa","US-IA",68
"Kansas","US-KS",64
"Kentucky","US-KY",59
"Louisiana","US-LA",56
"Maine","US-ME",76
"Maryland","US-MD",62
"Massachusetts","US-MA",79
"Michigan","US-MI",69
"Minnesota","US-MN",64
"Mississippi","US-MS",53
"Missouri","US-MO",60
"Montana","US-MT",71
"Nebraska","US-NE",77
"Nevada","US-NV",59
"New Hampshire","US-NH",85
"New Jersey","US-NJ",84
"New Mexico","US-NM",64
"New York","US-NY",70
"North Carolina","US-NC",64
"North Dakota","US-ND",68
"Ohio","US-OH",72
"Oklahoma","US-OK",59
"Oregon","US-OR",61
"Pennsylvania","US-PA",83
"Rhode Island","US-RI",73
"South Carolina","US-SC",57
"South Dakota","US-SD",76
"Tennessee","US-TN",60
"Texas","US-TX",61
"Utah","US-UT",67
"Vermont","US-VT",82
"Virginia","US-VA",69
"Washington","US-WA",59
"West Virginia","US-WV",64
"Wisconsin","US-WI",67
"Wyoming","US-WY",68
