"","geoCode","/m/012gx2"
"Alabama","US-AL",41
"Alaska","US-AK",52
"Arizona","US-AZ",67
"Arkansas","US-AR",43
"California","US-CA",55
"Colorado","US-CO",54
"Connecticut","US-CT",60
"Delaware","US-DE",95
"District of Columbia","US-DC",100
"Florida","US-FL",64
"Georgia","US-GA",47
"Hawaii","US-HI",51
"Idaho","US-ID",57
"Illinois","US-IL",60
"Indiana","US-IN",48
"Iowa","US-IA",57
"Kansas","US-KS",61
"Kentucky","US-KY",48
"Louisiana","US-LA",40
"Maine","US-ME",74
"Maryland","US-MD",56
"Massachusetts","US-MA",66
"Michigan","US-MI",70
"Minnesota","US-MN",66
"Mississippi","US-MS",36
"Missouri","US-MO",52
"Montana","US-MT",55
"Nebraska","US-NE",54
"Nevada","US-NV",51
"New Hampshire","US-NH",71
"New Jersey","US-NJ",67
"New Mexico","US-NM",54
"New York","US-NY",56
"North Carolina","US-NC",54
"North Dakota","US-ND",50
"Ohio","US-OH",60
"Oklahoma","US-OK",48
"Oregon","US-OR",62
"Pennsylvania","US-PA",78
"Rhode Island","US-RI",57
"South Carolina","US-SC",47
"South Dakota","US-SD",52
"Tennessee","US-TN",48
"Texas","US-TX",46
"Utah","US-UT",54
"Vermont","US-VT",66
"Virginia","US-VA",60
"Washington","US-WA",68
"West Virginia","US-WV",60
"Wisconsin","US-WI",70
"Wyoming","US-WY",62
